id,endereco
367432,AVENIDA QUINZE DE NOVEMBRO 2287 SAO JOSE
863170,AVENIDA CHICO MENDES 123 COLONIA TERRA NOVA
1100120,RUA FORMOSA 25 FLORES
544853,ESTRADA DO CALAFATE 5527 NOVO CALAFATE
223447,RUA ALEXANDRE GUIMARAES 4799 AGENOR DE CARVALHO
355350,RUA TABAJARA 5896 JARDIM TROPICAL
379152,RUA LIRIO DO VALE 1998 PARQUE IND NOVO TEMPO
358589,RODOVIA RO 010 LH 25 14 ROLIM DE MOURA
37916,AVENIDA TUPINIQUINS 4254 CENTRO
185528,RUA JOAO GOURLAT 338 UNIAO
186531,RUA LONDRINA 185 JARDIM AEROPORTO
337895,RUA NOVA BRASILIA 2458 CENTRO
448083,RUA 15 DE NOVEMBRO 97 CONJUNTO MORAR MELHOR
644079,RIO VIUVA PARANA 22 BARRA DO JARDIM
346632,AVENIDA PARANA 3523 JARDIM TROPICAL
625775,TRAVESSA EDMUNDO PINTO 168 EL DOURADO
483353,RUA JOSE JOAQUIM DE LIMA 798 BAIRRO ELDOURADO
215051,AVENIDA TIRADENTES 3690 PORTO VELHO
189217,RUA BARAO DE GUARARAPES 546 BAIRRO NOVA OURO PRETO
743489,RUA C 42 UNIAO
209268,AVENIDA JOSE VIEIRA CAULA 5181 ZONA LESTE
941795,ESTRADA DO ALEIXO 5230 ZUMBI DOS PALMARES
480688,AVENIDA MARINHO MONTE 539 BAIRRO ELDORADO
378483,RUA JOAO LIBERTO MUNIZ 6331 JARDIM ELDORADO
157587,RUA VITORIA REGIA 332 BAIRRO SAO BERNARDO
132251,RUA BRASILEIA 2972 JORGE TEIXEIRA
1070373,RUA DEZ DE SETEMBRO 18 JORGE TEIXEIRA 4A ETAPA
520896,AVENIDA JAPIIM 1 CENTRO
160797,RUA PRESIDENTE CARTER 474 BAIRRO SANTIAGO
449151,RUA SAMUEL M LOPES 3767 MONTE NEGRO
961146,RUA 219 59 NOVO ALEIXO
241714,RUA CECILIA MEIRELES 5814 SAO SEBASTIAO
732972,AVENIDA ADAIL DE SA 774 CENTRO
341959,AVENIDA BOA VISTA 5558 CENTRO
437388,LINHA LINHA B 106 31 LINHA B 106
988988,RUA AMAZONAS 42 SAO RAIMUNDO
160704,RUA PRESBITERO HONORATO PEREIRA 2294 NOVA BRASILIA
416815,LINHA RAIMUNDO BAIANO 20 BUITIS
803410,RUA LUIZ SERUDO MARTINS 299 JAUARI II
113555,RUA MATO GROSSO 1292 SETOR 02
435728,RUA PEITO ROXO 1607 SETOR 02
1120048,RUA IRACY NEVES 66 DISTRITO INDUSTRIAL 1 E 2
436162,RUA TICO TICO 1922 SETOR 01
987977,RUA AMARAL DOS SANTOS 194 SAO JORGE
1087051,RUA DUARTE DA COSTA 542 DOM PEDRO I
892364,AVENIDA RIO JAVARI 36 NOSSA SENHORA DAS GRACAS
918148,BECO DAS PEDREIRAS 17 COMPENSA
475710,RUA HERMOGENES BELMONTI 1388 ACRELANDIA
511729,RUA BENAVENUTO PERES 351 SATEL
1076473,RUA DO COMERCIO 309 CIDADE DE DEUS
506411,TRAVESSA LUIS ANTONIO MEIRIM PEDREIRA 101 CENTRO
1058813,RUA DA PAZ 34 NOVA ESPERANCA
980062,RUA ABRAAO CARDOSO 82 COMPENSA
321643,RUA MISTER MACKENZIE 4692 CIDADE DO LOBO
823013,RUA CAMILO MORATO 2346 BAIRRO SAO JOSE
