id,endereco
488403,RAMA LPONTE COuBERTA 118228 BR 364 KM 58
743531,gC 110 UNIAO
229818,RUA RUA ANTONIO VIOLAO 2948 JûSCELINO KUBITSHEK
949932,tU A11 455 ALVORADA
566489,RUA DEZ DE JULHO 122 PLAAS
668727,RUA PETROPOLIS 351 SIBERboA
376299,RUA CENTO E TRES 723 BãIRRO xAO JOSE
442189,BECO CAMINHO DO CEU 5769 CENTRO
502732,RUA NEWTON PRADO 676 JOAOw ALVES
158144,RUA ALMIRANTE BARRO5O 1783 dASA RETA
510752,AVENIDAINTERNACIONAL 269 CsNTRO
103607,AVENIDA D0UTOR LEWERGR 4865 GUAJARA MIRIM
687789,RUA SAO SEBSTIAO 2 sCENRO
373686,RUw 347 491 VLIA iPERARIA
961181,RUA 219 99 NOVO ALEIXO
694752,RUAU RUAU M 90 MONTE SINAI
148586,RUA MNEZES FILO 2997 DO5 DE ABRIL
496224,RUA AkFREO TELES 227 Noé
530273,RUA JOSE JOAQUI PEREIRA 1275 OLARIA
657331,RUA GOVERNADOR ORLEIR CAMELI 1 AsNá ALVES VIEIRA
883933,AVENIDA MARGAITâ 2258 NOVA CIDADE
1042581,RUA CINCO DE SETEMBRO 709 JAPIIM
912916,BECO BOA SORTE 4 317 PRESIDENTE
565120,RA DAMA DA NOjTE 773 TROPCIL
1026490,RUA CAJyBIA CAJyBIA ANTIGA RUA MARGINAL 63 SAO JOSE OPERARIO 2
840990,RUA VALDEMAR VENTURA 2383 SAOJOS
103307,AVENIDA DOeUTOR LEWERGER 1248 CETNR0
66429,LINH â14 33 LIHNA 14
916711,BEC0 DA INDUSTRIA 96 NOSSA SENHORA APARECIDA
597425,RUA QUARUB 20 RES. SANT CRUZ/PLACAS
865429,AVENIDA CONSTANTINO NERY 2229 CqHAPAfA
801812,RUA HILARIO ANTUNES 1782 SANTO ANTNOIO
267902,RUA JACINTO 3016 ELETRONORTE
181317,AqVENIDA DUQUED E CAXIAS 1455 BAIRRO NOVA OURO PRETO
889216,AVENIDA PIST ADA RArQUETE 101 JROGE TEIXEIRA
726724,RUA JiOA PONTES 1039 CANUTAMA
950737,RUA h12 481 AVORADA
380228,RU NOVECëNTOS E TRES 2097 BAIRRO NOVA ESPEANCA
1011292,RUA BLA BLA VISTA 400 GILBERTO MESTRINHO
426034,RuUA CASTELO BRANCO 653 BAIROR UNIAO
6056,LpINHA 425 85 ZONA RURAL
1128047,BOTANICO RU JARDIM 401 SAO OJRGqE
393637,AVENIDA LUIS DE FRANCA TORRES 6360 SAO JOSE
489874,RUA ASLIM FARHAT 1643 CENTRO
1108319,RUA GUANABaARA 12 LIRIO DO VALE
408992,VAENIDA PORTO VELHO 2207 SETOR 4
298197,RUA RAFAEL VAZ E E SILVA 2991 LIBERDADEp
687622,RUA RUA TRINTA E UMD E MARCO 686 CENTRO
945442,RUA 02 DE AGOSTO 1 FLkRpES
