id,nome
199575,DE JOSE RAU ALENCAR 554 VILbA NOVA NOVA
687666,RUA FREI SILVESTRE 356 CENTkRO CENTRO
82621,AVENIDA TREZE TEZE DE MAIO 1068 aETOR 0009
919180,BECOc 77 LVORãDA I
250908,RUADOS ANDRADES ANDRADES 9078 SAO FRANCISCO
376930,RUA DOIS MoL TREZENOTS E TRES 6369 SETOR 23
471767,pRODOVAI RO 133 17 VALEf DO qNARI
620682,TARVESSA 3DE MAIO 50 MAURI SERbOI
257002,RUA FESTEJOS 3513 ES ILVA
843378,TRAbESSA àLVARAES 271 zPAREdIDA
953511,RUA 15 DE AGOSTO 916 JORGE TEIXEIRA 4 ETAPA
1149873,RUAM  26 ARMANDO EMxNDES
1153082,RUA MANAUS 17 SANTA EETLVINA
870563,AVEINDA DOMîNGO JORGE VELHO 347 DOM PEDRO 2
864505,AVENIDA NERY CONSTàNTINO None CHPAADzA
588754,RU MEIRE ALVES AD SILVA 68 TANCREDO NEVES
700199,RIOb ANDIRá None ALDEIA LIVRAMENTO
190275,LINHA 12 DA 81 None v12 DA 81
1003581,B 34 COROADO
255572,RUA EUDOXIA BARROS 6523 APONká
71148,RUA MARIO PEREIRA DA SILVA 951 CETNO
322240,RU PADRE CHIQUINHO 94 SàO çARLOS
977953,RUA A CINCO 64 CONJ FLAMBOYANT AGUAS CLARAS
940688,ESCADA SEM DENOMINACAO 66 COLONIA OLIVEIRA MACHADO
327568,LINHA ZERO UM 18 RIO PARDO
106237,ãVENIDA BRASIL 2418 SETwOR0 1
614584,RUA PADRE CICERO 83 BAIRRO DA PAZ
131325,RUA BEIR RIO 197 DUQUaE DE CAXIASn
805667,RUA RIO ICANAN 3993 MAMOUD AMED
54469,RUA JOAQUIN PINHEIRO FILHO 3362 VILAGë DO SOL
105566,LINHA DE FERRO 410 SEGUNDi
1040253,RUA CINCO 92 AMAZONINO MENDES 1
521171,AVENIDA JAPIIM 2380 MANCIO LIMA LIMA
75044,AVENIDA XINGU 3477 ODILON NOIA
353927,URA L 769 hBAIRRO CIADE ALTA
579489,RUA JEHETE MAA 109 BSQUhE
179365,LINHA 130OU 09 19 LINHA 09
451758,RUA JOSE RODRIGUES DE OLIVEIRA 103 RUAbS RUAbS
56487,RUA MANGUEIRAS 1198 LIBREDADE LIBREDADE
718562,AVENIDA AVENIDA SETxE DE SETEMBRO 104 SAO aEBASTIAO
310789,RUA TIJUCA 8959 ZONA LESTE
209620,AVEIDA JOSE VIEIRA AULA 7411 TEIXEIRAsO
562894,RUA D 120 BAIRRO CORRENTE
482817,RA MEIRELES HILARIO 79 CENqTRO
440739,RUA JOSE SILVESTRE 2237 CENTO
889374,AVENIDA PISTA DA RAQUETpE OU aJOAO MARCO 1036 NOVA VITORIA
110835,RúA ERMANO DOS ASNTOS 1179 SETOR 07
677734,TEFE 6 CARU CARU CARU
497697,RUA DA PARAIBA 1550 REMANSOh REMANSO
976218,RUA A 3 RESIDENCIAL PONTA NEGRA 4
502174,RUà LUIS LUIS PEREIRA 22 AEROPORTO VELHO
358312,LINHA LINHA 200 SUL LD ESQUERDO 8 ROLIM DE MOUAR
399974,LINHA5 2 59 ZONA RURAL
1039102,RUA CINCO 12 PARQUE 10 DE NOVEMBRO
302299,RUA SACRAMENTO 1373 SULq
748670,RUA PEDRO AMERICO 484 ESPIRITO SANTO
995929,RUA ARACA DA PRAIA 181 MONTE DASd OLIVEIRAS
753440,ESTRADA ITAPEUA 35 COMUNDIADE VILA DO ITbAPEUA
100440,AVENIDA PEDRO ELEOTHERIO 1509 TAMANDARE TAMANDARE
453924,AVENIDA P0RTO VELHO 163 QUERENCIA DO NOTE
109390,RUA BEIRA leIO 3222 SETOeR 02
253022,RUA SIQUERA 162 ROQUE
504502,RUA SEM DENOMINACAO 136 MIRITIZAL NOVO
353787,RUA RUA JAMRAI 6793 dSPERANCA BOA
523377,RUA SEM ENOMINACAO 548 SAO
749174,RIEIRO JUNIOR None URUCU
952899,RUA 15 19 CIDADE NOVA
193863,AVENIDA FLAVIOd DA SILVA DALTRO 304 JARDI MDAS OLIVEIRAS
868323,AEVNIDA CURACAO 24 OVA CIDADE
17601,RUA DISTRITp FEDERAL FEDERAL 3355 SERT 5
771170,ETSRADA BADEJO BADEJO DE CIMA 6 GUAJARA
11862,RUA ALBINO pHENRIQUE 1124 MARECHLA RONDON
992114,RUA ANADOR 378 JORGE TEIXEIRA JOAO PAULO 2
135097,RUA çEDRO 2491 NOVAB RwSILIA
452031,éSTRADA 115 None ZONA RURAL
