id,endereco
391672,RODOIVqA BR 429 11 RODOVIA 429 429 BR
955593,qRUA 17 422 ALVROADA
510752,AVENIeDA INTERNACIONAL 269 CENTRO
875195,AVENIDAGETULIO VARGsS None COoLONIA ANOTNIO ALEIXO
413998,RUA VALE DO ANARI ANAR 1149 SETOR 2
998553,djA ARMANDO MENDES 55 PAQUE 10
175697,LINHA fB 16 147 MACHADIHO
230714,RUA AQUARIQgARA 284 ELDORADO
909127,AVENIDA VISC0NDE DE PORTO SEGURO 730 PARQUE 10 DE NOVEMBRO
875323,AVENIDAg GETULIp VARGAS 116 COLONIA ANTONIO ALEIXO
123576,AVENIDA hRASIL 268 NOVA BRASILIA
1061336,RUiA DALIA 3 SANTOANTONIO
445922,RUA VINTEE OITO DE NOVEMBRO 2293 CENTRO
945284,A02 RU 31 NOVA CIDADE
1014129,BENJAMIN CONSTANT None PETROPOLIS
736615,LAGO P nA E CASTANHO 125 PA
135414,RUA CEDRO CyEDRO 5510 JK
747984,gMANOEL MARQUES RUA 525 CHAiGS AGUIAR
724954,RUA TANCREDO None CENTRp
173192,ESTRADA ORIENE NOVO 38 ORIENTE DISTRITO NOVO
286201,RUA RUA MOSTARDEIRO 8763 SAO FRANhCISCO
387449,ESTRADA DA SFAZENAS 48 FAZENDA RECANTO DOS PASSAROS
590387,URUPI 413 VITOiRIA
510879,AVENIDASANTOa DUMONT 250 CENTRO
1069576,RUA DEZ 195 CIDADE nDE EDUS
1114864,RUA I 69 NOVA CIDAhDE
647944,RûA ROBERTO ROLA 4060 CENTRO
680141,RUA LEONIDAS JOSER EGIS RODRIGE$ . 907 ANzMA
954955,RUA 16 DE JULHO 4 COROADO
337889,RUA NOVA BRASILIA 2398 CENTRO
528186,AVEIDA DIAMANTINO AUGUSTO DE MACEDO 956 CENTdO CENTdO
858342,AVENIDA BïLLIE HOLjDAY 29 PQ DEZ DEZ DEZ DE NOVEMBRO
396632,AVENIDA JORGETIEXEIRA 4691 CENRO
459681,LINHA 05 B 22 ASSENTAMENTO yOG ODA ONCA
603876,RUA SEM DENOMNIACAO 211 oLACãS
892396,AVjENIDA IRO JAVARI 36 NOSSA ENHORA DAS GRACAS
875070,AVENIDA 1620 CIDãDE
1019147,RAU BOM PASTOR PASTOR 276 COLONIA TERRq NkVA
740499,ESTRADA DO MIRITI 37 NOSSA SENHORA DO PERPETUO SOCORRO
62318,RUA MãRECHALDEODORO DA FONSECA 2071 CENR
614238,RUA NOSSA SENHORA DA CONCEICAO 2 931 BAIRRbO 15
434679,RUA CURzNGO 1271 02 SETOR
876719,AVENIDA H 47 CIDAED NOVA NOVA
1026589,RUA CALCUTA 3 NOVA CîDADE
733243,RUA AGUA BRANCA 17 BIARRO NOVO
387545,ESTRDA SAO LOURENCO 25 SAO LOURENCO
986259,URA ALFRED DA MATA 38 SAO JORGE
903302,AVENIDA DUQUE CAXIAS 1648 PRACA 14 DE JANEIRO
790592,RUA TREVO None MORDA DO SOL
234251,RUA BEIRA RIO 2977 COSTA En
613641,RUA MAJOR LADISLAU FERRERIA 1024 ALAB
24280,xRUA MACHADO DEq ASSIS 3983 SETOR 06
767058,RUA 4 58 VILA MARTINS
485050,RUA MAJOR SLINAS SALINAS 155 CENTRO
219726,RUA 1DE MAIO 1533 ãCSTANHEIRA
233712,RUA BARLAVENTO 2493 ZONA SUL
197306,ESTRADA DO AEROPORTO 230 BELA VISTA
819309,RUA RIO 12650 TAMANICUA TAMANICUA
253513,RUA EMIDOI ALVES ALVES FEITOSA 2194 FLODOALDO PONTES PINTO
