id,nome
59539,RUA RIO NEGRO 1255 BAIRRO FLORESTA
1038857,RUA CINCO 5 LIRIO DO VALE
636941,RAMAL DOS MOREIRA 1400 1 KM
737684,RAMAL PURUPURU 28750 PURUPURU
180527,AVENIDA GONCALVES DIAS 2333 JARDIM AEROPORTO
223985,RUA ALEXANDRE GUIMARAES 8204 ZONA LESTE
793454,AVENIDA AQUILINO BARROS 301 JAUARI I
7346,ALAMEDA MACEIO 2848 SETOR 3
101569,AVENIDA ROCHA LEAL 1483 GUAJARA MIRIM
73584,AVENIDA A 4662 MATO GROSSO
174780,LINHA MC 1 ESTRADA DO ORIENE 11 MACHADINHO DO OETE
229413,RUA ANTONIO MARIA VALENCA 6678 PORTO VELHO
1127401,RUA JAPARA 355 JORGE TEIXEIRA
1071746,RUA DEZESSEIS 318 JORGE TEIXEIRA MONTE SIAO
692084,COMUNIDADE PIRAPITINGA 13 COMUNIDADE PIRAPITINGA
905515,AVENIDA PRESIDENTE COSTA E SILVA 1149 RAIZ
295389,RUA PLACIDO DE CASTRO 9056 SAO FRANCISCO
40571,AVENIDA CASTELO BRANCO None CENTRO
123773,AVENIDA BRASIL 1010 NOVA BRASILIA
361148,RUA LINHA 45 10 LINHA 45
884667,AVENIDA MAUES 1154 CACHOERINHA
439832,AVENIDA COSTA E SILVA 1767 CENTRO
217099,BECO SEM DENOMINACAO None NACIONAL
575686,RUA GENI FORMIGA 47 ESTACAO EXPERIMENTAL
41529,AVENIDA CUIABA 2903 JARDIM CLODOALDO
866675,AVENIDA CONTORNO 639 JAPIIM
865971,AVENIDA CONSTANTINO NERY 2525 CHAPADA
306290,RUA SENADOR ALVARO MAIA 3282 PORTO VELHO
177080,RUA DOS PIONEIROS 4237 SETOR 14
656817,RUA SIQUEIRA CAMPOS 859 JARDIM PRIMAVERA
292451,RUA PEDRO ALBENIZ 7168 PORTO VELHO
1134967,RUA JOSE BONIFACIO 3 SANTO ANTONIO
540576,AVENIDA DOUTOR MARIO MAIA 195 BAIRRO SAO FRANCISCO
201162,RUA RIO GRANDE DO NORTE 950 NOVA PIMENTA
794336,AVENIDA MANAUS 748 JAUARI I
121243,LINHA 633 600 TARILANDIA
44921,AVENIDA PORTO VELHO None CENTRO
59713,RUA ROSINEIA SOUZA 3603 VILAGE DO SOL
843238,RUA TENENTE GONCALVES 2120 SAO JOSE
177547,RUA JOSE CARLOS BUENO 5374 SETOR 15
