id_x,endereco_x,id_lt_x,id_y,endereco_y,id_lt_y,score
488403,RAMA LPONTE COuBERTA 118228 BR 364 KM 58,0,488403,RAMAL PONTE COBERTA 118228 BR 364 KM 58,5346,0.07985602
488403,RAMA LPONTE COuBERTA 118228 BR 364 KM 58,0,533274,RODOVIA 364 16 RAMAL SAMAUMA,3303,0.13745284
488403,RAMA LPONTE COuBERTA 118228 BR 364 KM 58,0,735776,ESTRADA AM 254 1630 AUTAZES,4955,0.14130574
488403,RAMA LPONTE COuBERTA 118228 BR 364 KM 58,0,491670,RODOVIA BR 317 48 ORTIGRANJEIRA,4349,0.14311972
488403,RAMA LPONTE COuBERTA 118228 BR 364 KM 58,0,659181,RAMAL 16 3 BR 364,1116,0.14623003
743531,gC 110 UNIAO,1,831195,BECO 1 129 UNIAO,7030,0.11916101
743531,gC 110 UNIAO,1,743531,RUA C 110 UNIAO,4226,0.16582352
743531,gC 110 UNIAO,1,743489,RUA C 42 UNIAO,19,0.17218116
743531,gC 110 UNIAO,1,932044,BECO UNIAO 12 PETROPOLIS,2879,0.18185489
743531,gC 110 UNIAO,1,418154,TRAVESSAO C 18B 25 BUITIS,7220,0.1934086
229818,RUA RUA ANTONIO VIOLAO 2948 JûSCELINO KUBITSHEK,2,229818,RUA ANTONIO VIOLAO 2948 JUSCELINO KUBITSCHEK,4329,0.08386508
229818,RUA RUA ANTONIO VIOLAO 2948 JûSCELINO KUBITSHEK,2,235034,RUA BENEDITO INOCENCIO 8382 JUSCELINO KUBITSCHEK,1453,0.0844107
229818,RUA RUA ANTONIO VIOLAO 2948 JûSCELINO KUBITSHEK,2,256464,RUA FELIPE DOS SANTOS 8185 JUSCELINO KUBITSCHEK,9051,0.08813566
229818,RUA RUA ANTONIO VIOLAO 2948 JûSCELINO KUBITSHEK,2,310264,RUA TEOTONIO VILELA 7761 JUSCELINO KUBITSCHEK,5258,0.09051414
229818,RUA RUA ANTONIO VIOLAO 2948 JûSCELINO KUBITSHEK,2,310240,RUA TEOTONIO VILELA 3223 JUSCELINO KUBITSCHEK,1739,0.091071695
949932,tU A11 455 ALVORADA,3,967981,RUA 4 1152 ALVORADA,104,0.13493057
949932,tU A11 455 ALVORADA,3,947673,RUA 1 34 ALVORADA,426,0.13843687
949932,tU A11 455 ALVORADA,3,955485,RUA 17 295 ALVORADA,8517,0.14438021
949932,tU A11 455 ALVORADA,3,956183,RUA 18 322 ALVORADA,4127,0.14527553
949932,tU A11 455 ALVORADA,3,964955,RUA 29 137 TARUMA ACU,6308,0.14884663
566489,RUA DEZ DE JULHO 122 PLAAS,4,566489,RUA DEZ DE JULHO 122 PLACAS,3083,0.034672793
566489,RUA DEZ DE JULHO 122 PLAAS,4,566572,RUA DEZ DE JULHO 698 PLACAS,4239,0.038828712
566489,RUA DEZ DE JULHO 122 PLAAS,4,566535,RUA DEZ DE JULHO 428 PLACAS,3684,0.04367929
566489,RUA DEZ DE JULHO 122 PLAAS,4,1070198,RUA DEZ DE JULHO 172 COMPENSA,9334,0.059217297
566489,RUA DEZ DE JULHO 122 PLAAS,4,566635,RUA DEZ DE JUNHO 399 TROPICAL,234,0.061585434
668727,RUA PETROPOLIS 351 SIBERboA,5,668727,RUA PETROPOLIS 351 SIBERIA,542,0.04492613
668727,RUA PETROPOLIS 351 SIBERboA,5,668716,RUA PETROPOLIS 161 SIBERIA,8840,0.050975442
668727,RUA PETROPOLIS 351 SIBERboA,5,1123352,RUA ITUIUTABA 837 ALVORADA,5921,0.06795569
668727,RUA PETROPOLIS 351 SIBERboA,5,312562,RUA TUCUNARE 33 LAGOA,2637,0.074003726
668727,RUA PETROPOLIS 351 SIBERboA,5,1124673,RUA J G DE ABREU 382 PETROPOLIS,4598,0.07772942
376299,RUA CENTO E TRES 723 BãIRRO xAO JOSE,6,376299,RUA CENTO E TRES 723 BAIRRO SAO JOSE,6311,0.043368552
376299,RUA CENTO E TRES 723 BãIRRO xAO JOSE,6,88260,RUA JERUSALEM 2041 BAIRRO SAO JOSE,5507,0.07632059
376299,RUA CENTO E TRES 723 BãIRRO xAO JOSE,6,88256,RUA JERUSALEM 2026 BAIRRO SAO JOSE,3896,0.07829169
376299,RUA CENTO E TRES 723 BãIRRO xAO JOSE,6,823013,RUA CAMILO MORATO 2346 BAIRRO SAO JOSE,54,0.083888456
376299,RUA CENTO E TRES 723 BãIRRO xAO JOSE,6,427972,RUA TRINTA E DOIS 188 BAIRRO UNIAO,1284,0.08535711
442189,BECO CAMINHO DO CEU 5769 CENTRO,7,789819,RUA PRINCIPAL 345 CACAU PIRERA,8166,0.110037744
442189,BECO CAMINHO DO CEU 5769 CENTRO,7,1118393,RUA INDIO CRETA 2 COROADO,9673,0.11488106
442189,BECO CAMINHO DO CEU 5769 CENTRO,7,404735,RUA BOM FUTURO 3783 ALORADA,5642,0.11514269
442189,BECO CAMINHO DO CEU 5769 CENTRO,7,487286,RUA PROJETADA 11 884 CENTRO,7080,0.11785166
442189,BECO CAMINHO DO CEU 5769 CENTRO,7,611132,RUA X 845 NOVO CALAFATE,6984,0.120644934
502732,RUA NEWTON PRADO 676 JOAOw ALVES,8,502732,RUA NEWTON PRADO 676 JOAO ALVES,1741,0.016174689
502732,RUA NEWTON PRADO 676 JOAOw ALVES,8,502735,RUA NEWTON PRADO 694 JOAO ALVES,8083,0.021458272
502732,RUA NEWTON PRADO 676 JOAOw ALVES,8,655356,RUA NEWTON PRADO 746 CAFEZAL,2620,0.04489898
502732,RUA NEWTON PRADO 676 JOAOw ALVES,8,655344,RUA NEWTON PRADO 705 CAFEZAL,4250,0.04499903
502732,RUA NEWTON PRADO 676 JOAOw ALVES,8,655251,RUA NEWTON PRADO 6 CAFEZAL,9241,0.05028335
158144,RUA ALMIRANTE BARRO5O 1783 dASA RETA,9,58149,RUA PEDRO SPAGNOL 3985 TEIXEIRAO,4459,0.074730486
158144,RUA ALMIRANTE BARRO5O 1783 dASA RETA,9,58148,RUA PEDRO SPAGNOL 3982 TEIXEIRAO,9135,0.07641768
158144,RUA ALMIRANTE BARRO5O 1783 dASA RETA,9,57339,RUA MONTEIRO LOBATO 1768 TEIXEIRAO,382,0.08046809
158144,RUA ALMIRANTE BARRO5O 1783 dASA RETA,9,147124,RUA MARACATIARA 783 MARIO ANDREAZZA,7300,0.081508175
158144,RUA ALMIRANTE BARRO5O 1783 dASA RETA,9,145802,RUA LONDRINA 1698 VALPARAISO,9430,0.08292129
510752,AVENIDAINTERNACIONAL 269 CsNTRO,10,397405,AVENIDA MARECHAL RONDON 1197 CENTRO,2641,0.115130946
510752,AVENIDAINTERNACIONAL 269 CsNTRO,10,397418,AVENIDA MARECHAL RONDON 1294 CENTRO,1794,0.11859021
510752,AVENIDAINTERNACIONAL 269 CsNTRO,10,397495,AVENIDA MARECHAL RONDON 4616 CENTRO,2470,0.11966351
510752,AVENIDAINTERNACIONAL 269 CsNTRO,10,127557,AVENIDA MARECHAL RONDON 1203 CENTRO,3666,0.12326276
510752,AVENIDAINTERNACIONAL 269 CsNTRO,10,127568,AVENIDA MARECHAL RONDON 1219 CENTRO,5959,0.12369468
103607,AVENIDA D0UTOR LEWERGR 4865 GUAJARA MIRIM,11,103607,AVENIDA DOUTOR LEWERGER 4865 GUAJARA MIRIM,3237,0.029235408
103607,AVENIDA D0UTOR LEWERGR 4865 GUAJARA MIRIM,11,103632,AVENIDA DOUTOR LEWERGER 5154 GUAJARA MIRIM,9238,0.03584729
103607,AVENIDA D0UTOR LEWERGR 4865 GUAJARA MIRIM,11,855818,AVENIDA AUTAZ MIRIM 7204 TANCREDO NEVES,2572,0.05905301
103607,AVENIDA D0UTOR LEWERGR 4865 GUAJARA MIRIM,11,855802,AVENIDA AUTAZ MIRIM 7072 TANCREDO NEVES,7532,0.060771435
103607,AVENIDA D0UTOR LEWERGR 4865 GUAJARA MIRIM,11,101706,AVENIDA SALOMAO JUSTINIANO MELGAR 3778 GUAJARA MIRIM,5341,0.06092887
687789,RUA SAO SEBSTIAO 2 sCENRO,12,261309,RUA GIRUA 5552 SAO SEBASTIAO,6994,0.08672042
687789,RUA SAO SEBSTIAO 2 sCENRO,12,276789,RUA JURUA 1486 SAO SEBASTIAO,9998,0.09467013
687789,RUA SAO SEBSTIAO 2 sCENRO,12,345119,AVENIDA MACEIO 6226 SAO CRISTOVAO,6114,0.095771134
687789,RUA SAO SEBSTIAO 2 sCENRO,12,345062,AVENIDA MACEIO 5703 SAO CRISTOVAO,9779,0.09721879
687789,RUA SAO SEBSTIAO 2 sCENRO,12,276743,RUA JURUA 1197 SAO SEBASTIAO,8615,0.10034721
373686,RUw 347 491 VLIA iPERARIA,13,533274,RODOVIA 364 16 RAMAL SAMAUMA,3303,0.16252011
373686,RUw 347 491 VLIA iPERARIA,13,931897,BECO UIRAPURU 3 75 COROADO,3053,0.16271186
