metodo,modelo_embedding,index_time,search_time,total_time,num_rows_df1,num_rows_df2,k,mem_used_indexation_MB,avg_mem_used_search_MB,matches
baseline,sentence-transformers/all-MiniLM-L6-v2,0.030262231826782227,17.925033435821533,17.955295667648315,100000,10000,1,146.78125,0.0,8177
svs,sentence-transformers/all-MiniLM-L6-v2,8.22513222694397,0.01840184211730957,8.24353406906128,100000,10000,1,90.21875,0.144921875,4684
NMSLIB,sentence-transformers/all-MiniLM-L6-v2,37.47640299797058,0.5224663043022155,37.998869302272794,100000,10000,1,390.18359375,0.2131640625,8083
baseline,sentence-transformers/all-MiniLM-L6-v2,0.031548500061035156,18.049277737140656,18.08082623720169,100000,10000,2,146.43359375,0.0,8571
svs,sentence-transformers/all-MiniLM-L6-v2,8.177459239959717,0.022505853176116943,8.199965093135834,100000,10000,2,73.6484375,0.106328125,5995
NMSLIB,sentence-transformers/all-MiniLM-L6-v2,36.47981572151184,0.5233208751678466,37.00313659667969,100000,10000,2,185.55078125,-0.0022265625,8454
baseline,sentence-transformers/all-MiniLM-L6-v2,0.029632568359375,18.1064910531044,18.136123621463774,100000,10000,3,146.546875,0.0,8740
svs,sentence-transformers/all-MiniLM-L6-v2,8.156136512756348,0.026213645935058594,8.182350158691406,100000,10000,3,73.734375,0.0423046875,6618
NMSLIB,sentence-transformers/all-MiniLM-L6-v2,36.588122844696045,0.5240440678596496,37.11216691255569,100000,10000,3,185.13671875,0.0029296875,8607
baseline,sentence-transformers/all-MiniLM-L6-v2,0.029881715774536133,18.072325954437257,18.102207670211794,100000,10000,4,146.51953125,0.0,8848
svs,sentence-transformers/all-MiniLM-L6-v2,8.151646137237549,0.029601287841796876,8.181247425079345,100000,10000,4,73.80078125,0.039921875,6974
NMSLIB,sentence-transformers/all-MiniLM-L6-v2,36.48846793174744,0.5257532787322998,37.01422121047974,100000,10000,4,185.27734375,0.0059375,8701
baseline,sentence-transformers/all-mpnet-base-v2,0.05042123794555664,35.42784845590592,35.47826969385147,100000,10000,1,292.9453125,0.0,6668
svs,sentence-transformers/all-mpnet-base-v2,10.000913381576538,0.02229968547821045,10.023213067054748,100000,10000,1,110.25390625,0.244296875,3746
NMSLIB,sentence-transformers/all-mpnet-base-v2,65.4835479259491,1.0052178812026977,66.4887658071518,100000,10000,1,444.3671875,0.3191796875,6587
