metodo,modelo_embedding,index_time,search_time,total_time,num_rows_df1,num_rows_df2,k,mem_used_indexation_MB,avg_mem_used_search_MB,matches
baseline,sentence-transformers/all-MiniLM-L6-v2,0.004191160202026367,0.19286086559295654,0.1970520257949829,10000,1000,5,0.453125,0.0,951
svs,sentence-transformers/all-MiniLM-L6-v2,0.9480001926422119,0.0029039382934570312,0.950904130935669,10000,1000,5,34.28515625,0.0178125,854
NMSLIB,sentence-transformers/all-MiniLM-L6-v2,1.002335548400879,0.015673296451568605,1.0180088448524476,10000,1000,5,8.28515625,0.00046875,944
hnsw_julia,sentence-transformers/all-MiniLM-L6-v2,1.5632133483886719,0.04263920381999999,1.605852552208672,10000,1000,5,72.859375,0.21671875,1
baseline,sentence-transformers/all-MiniLM-L6-v2,0.0018253326416015625,0.19296926498413086,0.19479459762573242,10000,1000,5,0.0,0.0,951
svs,sentence-transformers/all-MiniLM-L6-v2,0.9023294448852539,0.0028861689567565916,0.9052156138420105,10000,1000,5,38.80859375,0.0025,855
NMSLIB,sentence-transformers/all-MiniLM-L6-v2,1.0372374057769775,0.014641368389129638,1.051878774166107,10000,1000,5,1.625,0.00421875,945
hnsw_julia,sentence-transformers/all-MiniLM-L6-v2,0.9817399978637695,0.042029332180000004,1.0237693300437696,10000,1000,5,0.0,0.0,1
baseline,sentence-transformers/all-MiniLM-L6-v2,0.002228260040283203,0.19222009181976318,0.1944483518600464,10000,1000,5,7.98828125,0.0,951
svs,sentence-transformers/all-MiniLM-L6-v2,0.903393030166626,0.0028804612159729005,0.9062734913825988,10000,1000,5,33.8359375,0.00375,854
NMSLIB,sentence-transformers/all-MiniLM-L6-v2,1.0378496646881104,0.015180509090423584,1.053030173778534,10000,1000,5,18.3828125,0.004453125,944
hnsw_julia,sentence-transformers/all-MiniLM-L6-v2,0.9795999526977539,0.04256988671000001,1.0221698394077539,10000,1000,5,3.9140625,0.0,1
baseline,sentence-transformers/all-MiniLM-L6-v2,0.0018401145935058594,0.1936386036872864,0.19547871828079225,10000,1000,5,0.0,0.0,951
svs,sentence-transformers/all-MiniLM-L6-v2,0.9012351036071777,0.0028217124938964846,0.9040568161010742,10000,1000,5,19.55078125,0.0025,854
NMSLIB,sentence-transformers/all-MiniLM-L6-v2,1.0403084754943848,0.015492570400238038,1.0558010458946228,10000,1000,5,0.125,-0.0041796875,945
hnsw_julia,sentence-transformers/all-MiniLM-L6-v2,0.9831976890563965,0.04228432242999999,1.0254820114863965,10000,1000,5,0.0,0.0,1
baseline,sentence-transformers/all-mpnet-base-v2,0.003938436508178711,0.3658722162246704,0.36981065273284913,10000,1000,5,0.0,0.0,879
