execucao,tempo_busca,memoria_usada_busca_MB,modelo_index,modelo_embedding
1,0.001798868179321289,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
2,0.0017905235290527344,-0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
3,0.0018482208251953125,0.25,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
4,0.0018486976623535156,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
5,0.0017960071563720703,-0.12890625,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
6,0.0018222332000732422,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
7,0.0026111602783203125,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
8,0.002694845199584961,-0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
9,0.0019116401672363281,-0.0078125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
10,0.002044677734375,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
11,0.0018990039825439453,0.25,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
12,0.002089262008666992,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
13,0.0025186538696289062,-0.1328125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
14,0.0023658275604248047,-0.12890625,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
15,0.0021736621856689453,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
16,0.0017392635345458984,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
17,0.0017633438110351562,0.2421875,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
18,0.0017545223236083984,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
19,0.0017762184143066406,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
20,0.0017580986022949219,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
21,0.002118825912475586,-0.1328125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
22,0.0018346309661865234,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
23,0.0017504692077636719,-0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
24,0.0018031597137451172,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
25,0.0017499923706054688,-0.0078125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
26,0.0019881725311279297,-0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
27,0.001730203628540039,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
28,0.0018215179443359375,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
29,0.0017864704132080078,-0.1328125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
30,0.0020303726196289062,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
31,0.002132892608642578,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
32,0.002672910690307617,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
33,0.002322673797607422,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
34,0.0019004344940185547,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
35,0.0017459392547607422,-0.0078125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
36,0.0017430782318115234,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
37,0.002126932144165039,-0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
38,0.001997709274291992,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
39,0.0017015933990478516,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
40,0.001760244369506836,-0.1328125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
41,0.001720428466796875,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
42,0.001737356185913086,-0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
43,0.001905679702758789,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
44,0.001961231231689453,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
45,0.0017399787902832031,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
46,0.0017621517181396484,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
47,0.001683950424194336,-0.1328125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
48,0.0017230510711669922,0.25,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
49,0.0017843246459960938,-0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
50,0.0017294883728027344,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
51,0.0017628669738769531,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
52,0.0017197132110595703,-0.12890625,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
53,0.001739501953125,-0.0078125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
54,0.0017178058624267578,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
55,0.0017559528350830078,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
56,0.0016775131225585938,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
57,0.0018172264099121094,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
58,0.0021507740020751953,-0.1328125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
59,0.0020685195922851562,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
60,0.0017189979553222656,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
61,0.0019378662109375,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
62,0.002074718475341797,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
63,0.0018818378448486328,-0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
64,0.0020589828491210938,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
65,0.0018277168273925781,-0.1328125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
66,0.0017020702362060547,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
67,0.0017354488372802734,-0.12890625,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
68,0.0017445087432861328,0.1171875,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
69,0.0019130706787109375,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
70,0.0018985271453857422,-0.12890625,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
71,0.001775503158569336,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
72,0.0017507076263427734,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
73,0.0017282962799072266,-0.1328125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
74,0.0017490386962890625,-0.1328125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
75,0.0017230510711669922,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
76,0.0017371177673339844,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
77,0.001688241958618164,-0.00390625,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
78,0.001708984375,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
79,0.0017445087432861328,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
80,0.0017235279083251953,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
81,0.0017781257629394531,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
82,0.0017447471618652344,-0.00390625,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
83,0.001787424087524414,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
84,0.001718282699584961,-0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
85,0.0017571449279785156,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
86,0.0016372203826904297,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
87,0.0017385482788085938,-0.12890625,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
88,0.0017859935760498047,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
89,0.0017299652099609375,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
90,0.0017311573028564453,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
91,0.001722574234008789,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
92,0.0017478466033935547,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
93,0.0017321109771728516,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
94,0.0017542839050292969,-0.0078125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
95,0.0017054080963134766,-0.0078125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
96,0.0017483234405517578,0.125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
97,0.0017557144165039062,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
98,0.0017392635345458984,-0.12890625,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
99,0.0017361640930175781,-0.1328125,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
100,0.001722574234008789,0.0,nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2
