execucao,tempo_busca,memoria_usada_busca_MB,modelo_index,modelo_embedding
1,35.46581530570984,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
2,35.45487928390503,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
3,35.49900555610657,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
4,35.45474982261658,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
5,35.461822271347046,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
6,35.47511625289917,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
7,35.464829206466675,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
8,35.47373342514038,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
9,35.513076305389404,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
10,35.47565245628357,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
11,35.472551345825195,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
12,35.45676875114441,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
13,35.45359826087952,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
14,35.45256304740906,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
15,35.48370718955994,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
16,35.50725340843201,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
17,35.439135789871216,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
18,35.50346875190735,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
19,35.505850076675415,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
20,35.47795844078064,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
21,35.46964955329895,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
22,35.486851930618286,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
23,35.44837188720703,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
24,35.474024534225464,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
25,35.50439786911011,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
26,35.51102638244629,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
27,35.47752499580383,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
28,35.472808599472046,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
29,35.465452671051025,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
30,35.472862243652344,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
31,35.48915195465088,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
32,35.4798858165741,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
33,35.47893190383911,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
34,35.40645670890808,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
35,35.41550064086914,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
36,35.4241087436676,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
37,35.51610851287842,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
38,35.466872215270996,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
39,35.45141863822937,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
40,35.46314001083374,1.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
41,35.45791983604431,0.75,faiss_baseline,sentence-transformers/all-mpnet-base-v2
42,35.47727608680725,0.0,faiss_baseline,sentence-transformers/all-mpnet-base-v2
43,35.538511753082275,0.875,faiss_baseline,sentence-transformers/all-mpnet-base-v2
