execucao,tempo_busca,memoria_usada_busca_MB,modelo_index,modelo_embedding
1,0.101774123,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
2,0.101851769,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
3,0.098467481,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
4,0.10078561,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
5,0.09836677,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
6,0.098781549,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
7,0.100854388,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
8,0.101359327,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
9,0.099252036,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
10,0.099102157,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
11,0.100688284,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
12,0.100850968,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
13,0.098034822,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
14,0.09885235,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
15,0.099271401,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
16,0.101706748,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
17,0.099458148,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
18,0.099057944,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
19,0.098163655,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
20,0.098925243,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
21,0.101069348,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
22,0.099072626,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
23,0.098857069,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
24,0.098967817,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
25,0.098054292,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
26,0.102082231,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
27,0.098712118,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
28,0.099090257,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
29,0.098446403,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
30,0.101587508,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
31,0.09885216,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
32,0.09899607,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
33,0.098118301,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
34,0.0989145,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
35,0.100851189,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
36,0.100402282,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
37,0.09804441,0.0,hnsw_julia,neuralmind/bert-large-portuguese-cased
