execucao,tempo_busca,memoria_usada_busca_MB,modelo_index,modelo_embedding
1,1.178528162,17.25,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
2,1.194776011,16.125,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
3,1.174123967,-146.39453125,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
4,1.309700817,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
5,1.180920158,7.625,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
6,1.195132022,7.75,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
7,1.178657209,-10.5,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
8,1.198630799,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
9,1.177513923,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
10,1.176697768,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
11,1.311201886,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
12,1.181681876,1.875,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
13,1.179854943,8.625,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
14,1.179395361,1.625,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
15,1.282830821,3.5,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
16,1.178717406,-15.625,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
17,1.180270404,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
18,1.199270401,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
19,1.164099577,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
20,1.174235399,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
21,1.183419252,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
22,1.195598465,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
23,1.170111278,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
24,1.174931959,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
25,1.180673527,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
26,1.198381119,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
27,1.174950044,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
28,1.171692851,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
29,1.17039332,0.125,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
30,1.289819112,6.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
31,1.177909241,2.625,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
32,1.180407858,-8.75,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
33,1.195298282,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
34,1.173396186,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
35,1.177939739,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
36,1.178403569,1.5,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
37,1.286442936,4.75,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
38,1.180478174,3.875,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
39,1.180457685,-10.125,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
40,1.202284565,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
41,1.172026747,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
42,1.178547018,6.5,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
43,1.185758815,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
44,1.293010081,5.75,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
45,1.180692339,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
46,1.182281491,3.625,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
47,1.1806345,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
48,1.287572605,-0.25,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
49,1.18407409,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
50,1.183248595,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
51,1.293330839,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
52,1.178332014,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
53,1.183099934,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
54,1.186548383,1.75,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
55,1.305788879,-1.7734375,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
56,1.179148988,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
57,1.176182721,-15.6328125,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
58,1.184836196,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
59,1.196402378,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
60,1.177980931,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
61,1.176082865,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
62,1.178991108,1.25,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
63,1.292654024,5.375,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
64,1.178819807,4.375,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
65,1.183582003,-11.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
66,1.185118684,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
67,1.19996692,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
68,1.175988044,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
69,1.184489757,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
70,1.183935062,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
71,1.197404449,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
72,1.176271468,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
73,1.17507221,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
74,1.179420616,3.625,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
75,1.311239455,6.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
76,1.185367173,4.375,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
77,1.186853723,4.875,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
78,1.188574386,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
79,1.29359536,-3.2578125,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
80,1.180019219,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
81,1.184893696,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
82,1.185594452,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
83,1.292367597,14.59375,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
84,1.181486592,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
85,1.181174034,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
86,1.182897907,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
87,1.293413879,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
88,1.181171237,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
89,1.183245376,-15.6328125,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
90,1.18148667,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
91,1.294230618,3.875,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
92,1.18696137,9.875,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
93,1.184192872,-13.75,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
94,1.179476669,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
95,1.292737168,3.875,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
96,1.1834085,9.75,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
97,1.186119873,-13.625,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
98,1.180413376,0.0,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
99,1.294411724,3.875,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
100,1.184109868,9.375,hnsw_julia,sentence-transformers/all-MiniLM-L6-v2
