execucao,tempo_busca,memoria_usada_busca_MB,modelo_index,modelo_embedding
1,0.085846052,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
2,0.078863089,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
3,0.087307188,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
4,0.077350557,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
5,0.082645977,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
6,0.076520665,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
7,0.076257636,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
8,0.078399224,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
9,0.0844981,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
10,0.077205247,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
11,0.075884286,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
12,0.080922653,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
13,0.077478356,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
14,0.076315347,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
15,0.084565408,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
16,0.079328984,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
17,0.077139371,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
18,0.076573681,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
19,0.080626245,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
20,0.078863855,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
21,0.081922554,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
22,0.080859336,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
23,0.076450495,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
24,0.07895092,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
25,0.077104097,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
26,0.075939616,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
27,0.087105849,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
28,0.080104707,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
29,0.076982485,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
30,0.076788687,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
31,0.076527758,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
32,0.079817377,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
33,0.07753446,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
34,0.086266378,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
35,0.077738554,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
36,0.077132293,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
37,0.079626651,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
38,0.075788445,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
39,0.079386398,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
40,0.085136266,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
41,0.080638074,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
42,0.077493036,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
43,0.076725096,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
44,0.079180777,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
45,0.077534403,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
46,0.082993721,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
47,0.078886476,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
48,0.077085007,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
49,0.089080748,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
50,0.091203267,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
51,0.079498012,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
52,0.087800687,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
53,0.082481457,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
54,0.077380557,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
55,0.077078516,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
56,0.087278948,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
57,0.081459771,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
58,0.078962363,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
59,0.077173537,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
60,0.077120096,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
61,0.079216568,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
62,0.076032504,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
63,0.082072519,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
64,0.081255424,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
65,0.078862068,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
66,0.076886283,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
67,0.077146095,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
68,0.079496424,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
69,0.077693421,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
70,0.085914906,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
71,0.080429299,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
72,0.077345482,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
73,0.07886619,0.0,hnsw_julia,sentence-transformers/all-mpnet-base-v2
