execucao,tempo_busca,memoria_usada_busca_MB,modelo_index,modelo_embedding
1,21.254966497421265,-0.0546875,scann,intfloat/multilingual-e5-large
2,21.21864080429077,0.0390625,scann,intfloat/multilingual-e5-large
3,21.226922273635864,0.0,scann,intfloat/multilingual-e5-large
4,21.243144989013672,0.0,scann,intfloat/multilingual-e5-large
5,21.23088788986206,0.0,scann,intfloat/multilingual-e5-large
6,21.230947017669678,0.0,scann,intfloat/multilingual-e5-large
7,21.244274854660034,0.0,scann,intfloat/multilingual-e5-large
8,21.21983027458191,0.0,scann,intfloat/multilingual-e5-large
9,21.225338220596313,0.0,scann,intfloat/multilingual-e5-large
10,21.240663528442383,0.0,scann,intfloat/multilingual-e5-large
11,21.230437994003296,0.0,scann,intfloat/multilingual-e5-large
12,21.233962774276733,0.0,scann,intfloat/multilingual-e5-large
13,21.235591888427734,0.0,scann,intfloat/multilingual-e5-large
14,21.24541974067688,0.0,scann,intfloat/multilingual-e5-large
15,21.23553729057312,0.0,scann,intfloat/multilingual-e5-large
16,21.23914361000061,0.0,scann,intfloat/multilingual-e5-large
17,21.24866509437561,0.0,scann,intfloat/multilingual-e5-large
18,21.24184560775757,0.0,scann,intfloat/multilingual-e5-large
19,21.240344047546387,0.0,scann,intfloat/multilingual-e5-large
20,21.255780458450317,0.0,scann,intfloat/multilingual-e5-large
21,21.2280695438385,0.0,scann,intfloat/multilingual-e5-large
22,21.229315519332886,0.0,scann,intfloat/multilingual-e5-large
23,21.249905824661255,0.0,scann,intfloat/multilingual-e5-large
24,21.223835706710815,0.0,scann,intfloat/multilingual-e5-large
25,21.224766492843628,0.0,scann,intfloat/multilingual-e5-large
26,21.241543531417847,0.0,scann,intfloat/multilingual-e5-large
27,21.233717918395996,0.0,scann,intfloat/multilingual-e5-large
28,21.240615129470825,0.0,scann,intfloat/multilingual-e5-large
29,21.24381709098816,0.0,scann,intfloat/multilingual-e5-large
30,21.22965693473816,0.0,scann,intfloat/multilingual-e5-large
31,21.24284267425537,0.0,scann,intfloat/multilingual-e5-large
32,21.24163317680359,0.0,scann,intfloat/multilingual-e5-large
33,21.254483938217163,0.0,scann,intfloat/multilingual-e5-large
34,21.237159967422485,0.0,scann,intfloat/multilingual-e5-large
35,21.21566677093506,0.0,scann,intfloat/multilingual-e5-large
36,21.233304977416992,0.0,scann,intfloat/multilingual-e5-large
37,21.235597610473633,0.0,scann,intfloat/multilingual-e5-large
38,21.23778510093689,0.0,scann,intfloat/multilingual-e5-large
39,21.2593514919281,0.0,scann,intfloat/multilingual-e5-large
40,21.262086153030396,0.0,scann,intfloat/multilingual-e5-large
41,21.257719039916992,0.0,scann,intfloat/multilingual-e5-large
42,21.278870582580566,0.0,scann,intfloat/multilingual-e5-large
43,21.26470923423767,0.0,scann,intfloat/multilingual-e5-large
44,21.25729250907898,0.03125,scann,intfloat/multilingual-e5-large
45,21.26252770423889,0.0,scann,intfloat/multilingual-e5-large
46,21.675833463668823,0.0,scann,intfloat/multilingual-e5-large
47,21.701249837875366,0.0,scann,intfloat/multilingual-e5-large
48,21.235875606536865,0.0,scann,intfloat/multilingual-e5-large
49,21.24136757850647,0.0,scann,intfloat/multilingual-e5-large
50,21.222445964813232,0.0,scann,intfloat/multilingual-e5-large
51,21.228543281555176,0.0,scann,intfloat/multilingual-e5-large
52,21.24371838569641,0.0,scann,intfloat/multilingual-e5-large
