execucao,tempo_busca,memoria_usada_busca_MB,modelo_index,modelo_embedding
1,0.003087282180786133,1.41796875,scann,sentence-transformers/all-MiniLM-L6-v2
2,0.002756357192993164,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
3,0.0027942657470703125,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
4,0.002968311309814453,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
5,0.0028619766235351562,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
6,0.002731800079345703,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
7,0.0027055740356445312,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
8,0.0026929378509521484,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
9,0.002810239791870117,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
10,0.0029451847076416016,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
11,0.002859354019165039,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
12,0.002728700637817383,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
13,0.0027132034301757812,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
14,0.0026738643646240234,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
15,0.00284576416015625,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
16,0.002893686294555664,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
17,0.0028197765350341797,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
18,0.002712249755859375,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
19,0.0027010440826416016,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
20,0.0027379989624023438,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
21,0.002736330032348633,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
22,0.002714395523071289,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
23,0.002676725387573242,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
24,0.0026695728302001953,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
25,0.002668619155883789,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
26,0.0026726722717285156,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
27,0.0027158260345458984,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
28,0.002742290496826172,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
29,0.0027256011962890625,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
30,0.0026540756225585938,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
31,0.002680540084838867,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
32,0.002699136734008789,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
33,0.0026826858520507812,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
34,0.0026717185974121094,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
35,0.002662181854248047,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
36,0.0026984214782714844,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
37,0.002710103988647461,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
38,0.0026826858520507812,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
39,0.0027451515197753906,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
40,0.002687215805053711,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
41,0.0026960372924804688,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
42,0.002716541290283203,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
43,0.00272369384765625,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
44,0.002660036087036133,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
