execucao,tempo_busca,memoria_usada_busca_MB,modelo_index,modelo_embedding
1,0.1628708839416504,0.0,scann,sentence-transformers/all-mpnet-base-v2
2,0.15866827964782715,0.0,scann,sentence-transformers/all-mpnet-base-v2
3,0.15871143341064453,0.0,scann,sentence-transformers/all-mpnet-base-v2
4,0.15654373168945312,0.0,scann,sentence-transformers/all-mpnet-base-v2
5,0.1580805778503418,0.0,scann,sentence-transformers/all-mpnet-base-v2
6,0.15713739395141602,0.0,scann,sentence-transformers/all-mpnet-base-v2
7,0.15726184844970703,0.0,scann,sentence-transformers/all-mpnet-base-v2
8,0.15873146057128906,0.0,scann,sentence-transformers/all-mpnet-base-v2
9,0.1568443775177002,0.0,scann,sentence-transformers/all-mpnet-base-v2
10,0.15674042701721191,0.0,scann,sentence-transformers/all-mpnet-base-v2
11,0.1571967601776123,0.0,scann,sentence-transformers/all-mpnet-base-v2
12,0.1569209098815918,0.0,scann,sentence-transformers/all-mpnet-base-v2
13,0.15669941902160645,0.0,scann,sentence-transformers/all-mpnet-base-v2
14,0.15714597702026367,0.0,scann,sentence-transformers/all-mpnet-base-v2
15,0.15778088569641113,0.0,scann,sentence-transformers/all-mpnet-base-v2
16,0.15715670585632324,0.0,scann,sentence-transformers/all-mpnet-base-v2
17,0.15729522705078125,0.0,scann,sentence-transformers/all-mpnet-base-v2
18,0.15752553939819336,0.0,scann,sentence-transformers/all-mpnet-base-v2
19,0.1567707061767578,0.0,scann,sentence-transformers/all-mpnet-base-v2
20,0.15621089935302734,0.0,scann,sentence-transformers/all-mpnet-base-v2
21,0.15684795379638672,0.0,scann,sentence-transformers/all-mpnet-base-v2
22,0.15789103507995605,0.0,scann,sentence-transformers/all-mpnet-base-v2
23,0.1561739444732666,0.0,scann,sentence-transformers/all-mpnet-base-v2
24,0.1585090160369873,0.0,scann,sentence-transformers/all-mpnet-base-v2
25,0.1561284065246582,0.0,scann,sentence-transformers/all-mpnet-base-v2
26,0.15677571296691895,0.0,scann,sentence-transformers/all-mpnet-base-v2
27,0.15834307670593262,0.0,scann,sentence-transformers/all-mpnet-base-v2
28,0.1578657627105713,0.0,scann,sentence-transformers/all-mpnet-base-v2
29,0.15841317176818848,0.0,scann,sentence-transformers/all-mpnet-base-v2
30,0.15701842308044434,0.0,scann,sentence-transformers/all-mpnet-base-v2
31,0.15733838081359863,0.0,scann,sentence-transformers/all-mpnet-base-v2
32,0.15642428398132324,0.0,scann,sentence-transformers/all-mpnet-base-v2
33,0.15616965293884277,0.0,scann,sentence-transformers/all-mpnet-base-v2
34,0.15775847434997559,0.0,scann,sentence-transformers/all-mpnet-base-v2
35,0.156660795211792,0.0,scann,sentence-transformers/all-mpnet-base-v2
36,0.15674400329589844,0.0,scann,sentence-transformers/all-mpnet-base-v2
37,0.15702295303344727,0.0,scann,sentence-transformers/all-mpnet-base-v2
38,0.15584945678710938,0.0,scann,sentence-transformers/all-mpnet-base-v2
39,0.1576251983642578,0.0,scann,sentence-transformers/all-mpnet-base-v2
40,0.15795493125915527,0.0,scann,sentence-transformers/all-mpnet-base-v2
41,0.15799522399902344,0.0,scann,sentence-transformers/all-mpnet-base-v2
42,0.1567389965057373,0.0,scann,sentence-transformers/all-mpnet-base-v2
43,0.1576545238494873,0.0,scann,sentence-transformers/all-mpnet-base-v2
44,0.15767526626586914,0.0,scann,sentence-transformers/all-mpnet-base-v2
45,0.15708518028259277,0.0,scann,sentence-transformers/all-mpnet-base-v2
46,0.1559131145477295,0.0,scann,sentence-transformers/all-mpnet-base-v2
47,0.1583387851715088,0.0,scann,sentence-transformers/all-mpnet-base-v2
48,0.15663599967956543,0.0,scann,sentence-transformers/all-mpnet-base-v2
49,0.15663957595825195,0.0,scann,sentence-transformers/all-mpnet-base-v2
50,0.15770745277404785,0.0,scann,sentence-transformers/all-mpnet-base-v2
51,0.15711522102355957,0.0,scann,sentence-transformers/all-mpnet-base-v2
