execucao,tempo_busca,memoria_usada_busca_MB,modelo_index,modelo_embedding
1,0.23484134674072266,0.0,svs,neuralmind/bert-large-portuguese-cased
2,0.18569564819335938,0.0,svs,neuralmind/bert-large-portuguese-cased
3,0.16544866561889648,0.0,svs,neuralmind/bert-large-portuguese-cased
4,0.15386128425598145,0.0,svs,neuralmind/bert-large-portuguese-cased
5,0.16119861602783203,0.0,svs,neuralmind/bert-large-portuguese-cased
6,0.2402944564819336,0.0,svs,neuralmind/bert-large-portuguese-cased
7,0.2157444953918457,0.0,svs,neuralmind/bert-large-portuguese-cased
8,0.17782258987426758,0.0,svs,neuralmind/bert-large-portuguese-cased
9,0.15508174896240234,0.0,svs,neuralmind/bert-large-portuguese-cased
10,0.15936493873596191,0.0,svs,neuralmind/bert-large-portuguese-cased
11,0.17612004280090332,0.0,svs,neuralmind/bert-large-portuguese-cased
12,0.17239046096801758,0.0,svs,neuralmind/bert-large-portuguese-cased
13,0.14188551902770996,0.0,svs,neuralmind/bert-large-portuguese-cased
14,0.18934893608093262,0.0,svs,neuralmind/bert-large-portuguese-cased
15,0.14320874214172363,0.0,svs,neuralmind/bert-large-portuguese-cased
16,0.14320898056030273,0.0,svs,neuralmind/bert-large-portuguese-cased
17,0.14722537994384766,0.0,svs,neuralmind/bert-large-portuguese-cased
18,0.15004754066467285,0.0,svs,neuralmind/bert-large-portuguese-cased
19,0.19012212753295898,0.0,svs,neuralmind/bert-large-portuguese-cased
20,0.15058231353759766,0.0,svs,neuralmind/bert-large-portuguese-cased
21,0.16070199012756348,0.0,svs,neuralmind/bert-large-portuguese-cased
22,0.2243058681488037,0.0,svs,neuralmind/bert-large-portuguese-cased
23,0.18381404876708984,0.0,svs,neuralmind/bert-large-portuguese-cased
24,0.1744396686553955,0.0,svs,neuralmind/bert-large-portuguese-cased
25,0.14075112342834473,0.0,svs,neuralmind/bert-large-portuguese-cased
26,0.14098691940307617,0.0,svs,neuralmind/bert-large-portuguese-cased
27,0.1596968173980713,0.0,svs,neuralmind/bert-large-portuguese-cased
28,0.13991308212280273,0.0,svs,neuralmind/bert-large-portuguese-cased
29,0.13895869255065918,0.0,svs,neuralmind/bert-large-portuguese-cased
30,0.133467435836792,0.0,svs,neuralmind/bert-large-portuguese-cased
