id_x,endereco_x,id_lt_x,id_y,endereco_y,id_lt_y,score
134725,RUA CAUCHEIe 1878 NOVA BRAaILIA,0,773445,RUA ANTERO RICA 1679 NOVA HUMAITA,5354,0.09799989
134725,RUA CAUCHEIe 1878 NOVA BRAaILIA,0,147199,RUA MARACATIARA 1662 NOVA BRASILIA,5259,0.09883216
134725,RUA CAUCHEIe 1878 NOVA BRAaILIA,0,500026,RUA DO PARA 1820 CRUZEIRAO,4527,0.10049055
134725,RUA CAUCHEIe 1878 NOVA BRAaILIA,0,148982,RUA MOGNO 1653 NOVA BRASILIA,7868,0.10155375
134725,RUA CAUCHEIe 1878 NOVA BRAaILIA,0,136602,RUA CURITIBA 556 NOVA BRA ILIA,9413,0.1019468
831348,,1,469309,LINHA 66 230 None,2285,0.41498435
831348,,1,164312,LINHA 208 7 None,4387,0.44019926
831348,,1,330648,RUA 8 40 None,7188,0.44460928
831348,,1,64782,LINHA 04 62 None,3754,0.4459513
831348,,1,452374,LINHA P 06 6 None,93,0.44896716
128638,RUA 7 DE SETEMBRO 2171 CASA PRETA,2,128638,RUA 7 DE SETEMBRO 2171 CASA PRETA,260,1.170214e-05
128638,RUA 7 DE SETEMBRO 2171 CASA PRETA,2,154409,RUA SETE DE SETEMBRO 1758 CASA PRETA,5601,0.043808255
128638,RUA 7 DE SETEMBRO 2171 CASA PRETA,2,151283,RUA QUINZE DE NOVEMBRO 1651 CASA PRETA,470,0.062360287
128638,RUA 7 DE SETEMBRO 2171 CASA PRETA,2,297684,RUA QUINZE DE SETEMBRO 1711 CASTANHEIRA,9547,0.06603722
128638,RUA 7 DE SETEMBRO 2171 CASA PRETA,2,756192,RUA CINCO DE SETEMBRO 345 CODAJAS,5546,0.06626858
366915,AVENIDA PARANA OU 2710 2366 COHA,3,366915,AVENIDA PARANA OU 2710 2366 COHAB,7224,0.02971775
366915,AVENIDA PARANA OU 2710 2366 COHA,3,364334,AVENIDA FIORINDO SANTINI OU 1515 1751 CRISTO REI,5879,0.11205791
366915,AVENIDA PARANA OU 2710 2366 COHA,3,982788,RUA AGANA 33 NOVA CIDADE,8133,0.11508606
366915,AVENIDA PARANA OU 2710 2366 COHA,3,859888,AVENIDA BRASIL 1533 COMPENSA,76,0.12661263
366915,AVENIDA PARANA OU 2710 2366 COHA,3,877972,AVENIDA IGARAPE DO LEAO 585 ENFRETE ABR 174,2762,0.13332842
617222,RUA SANTA TEREZINHA 763 SEIS DE AGOdTO,4,617222,RUA SANTA TEREZINHA 763 SEIS DE AGOSTO,2409,0.019039812
617222,RUA SANTA TEREZINHA 763 SEIS DE AGOdTO,4,617192,RUA SANTA TEREZINHA 708 SEIS DE AGOSTO,1660,0.021653384
617222,RUA SANTA TEREZINHA 763 SEIS DE AGOdTO,4,616955,RUA SANTA TEREZINHA 25 06 DE AGOSTO,3130,0.045593552
617222,RUA SANTA TEREZINHA 763 SEIS DE AGOdTO,4,774288,RUA DA MATINHA 649 SANTO ANTONIO,6465,0.07152404
617222,RUA SANTA TEREZINHA 763 SEIS DE AGOdTO,4,757474,RUA QUINZE DE NOVEMBRO 413 CODAJAS,571,0.0756098
931225,BECO TARUMA 16 PRACA 14 DE JANEIRO,5,931225,BECO TARUMA 16 PRACA 14 DE JANEIRO,4577,1.5113666e-05
931225,BECO TARUMA 16 PRACA 14 DE JANEIRO,5,931233,BECO TARUMA 64 PRACA 14 DE JANEIRO,2773,0.019603092
931225,BECO TARUMA 16 PRACA 14 DE JANEIRO,5,911349,BECO BARCELOS 65 PRACA 14 DE JANEIRO,3990,0.05774431
931225,BECO TARUMA 16 PRACA 14 DE JANEIRO,5,933454,BECO MESTRE CHICO 2 2280 PRACA 14 DE JANEIRO,9025,0.07028332
931225,BECO TARUMA 16 PRACA 14 DE JANEIRO,5,932612,BECO VISCONDE 2016 PRACA 14 DE JANEIRO,7635,0.078211
891259,AVENIDA REAL 309 DISTRITO IDUSTRIA L1 E 2,6,891259,AVENIDA REAL 309 DISTRITO INDUSTRIAL 1 E 2,7922,0.047088407
891259,AVENIDA REAL 309 DISTRITO IDUSTRIA L1 E 2,6,883310,AVENIDA MANAUS DOIS MIL 2308 DISTRITO INDUSTRIAL 1,8079,0.082155466
891259,AVENIDA REAL 309 DISTRITO IDUSTRIA L1 E 2,6,565137,RUA DAMA DA NOITE 905 TROPICAL,5881,0.09015319
891259,AVENIDA REAL 309 DISTRITO IDUSTRIA L1 E 2,6,1098019,RUA FERREIRA 73 DISTRITO 1 E 2,795,0.09582822
891259,AVENIDA REAL 309 DISTRITO IDUSTRIA L1 E 2,6,213932,AVENIDA RIO MADEIRA 4069 INDUSTRIAL,2462,0.10156554
702817,RUA PEDRO LUIZ DA SILVA 107 COLONIA,7,702817,RUA PEDRO LUIZ DA SILVA 107 COLONIA,9353,9.3127255e-06
702817,RUA PEDRO LUIZ DA SILVA 107 COLONIA,7,531167,RUA OLIMPIO DA SILVA GOMES 1650 TAUMARTUGO,7327,0.05735565
702817,RUA PEDRO LUIZ DA SILVA 107 COLONIA,7,584762,RUA LUIZ DA SILVA 404 MANOEL JULIAO,6909,0.06194056
702817,RUA PEDRO LUIZ DA SILVA 107 COLONIA,7,511972,RUA FRANCISCO B. SOUZA 79 SATEL,3749,0.065157235
702817,RUA PEDRO LUIZ DA SILVA 107 COLONIA,7,585103,RUA LUZANIRA GOMES 30 BOSQUE,8625,0.06622315
679614,ITALIA NOVA RUâ 17 IGARAPE ACURUI,8,679614,RUA NOVA ITALIA 17 IGARAPE ACURUI,4006,0.108075105
679614,ITALIA NOVA RUâ 17 IGARAPE ACURUI,8,679634,RUA NOVA ITALIA 38 IGARAPE ACURUI,9518,0.11372181
679614,ITALIA NOVA RUâ 17 IGARAPE ACURUI,8,766241,RIO ITUCUMA 11 NOVA ESPERANCA,705,0.12600803
679614,ITALIA NOVA RUâ 17 IGARAPE ACURUI,8,773445,RUA ANTERO RICA 1679 NOVA HUMAITA,5354,0.12748164
679614,ITALIA NOVA RUâ 17 IGARAPE ACURUI,8,630298,TRAVESSA PICAPAU 58 SANTA INES,9789,0.12763393
660337,AVENIDA AVELINO LEAL 14 COPACABAAN,9,660337,AVENIDA AVELINO LEAL 14 COPACABANA,9217,0.010644044
660337,AVENIDA AVELINO LEAL 14 COPACABAAN,9,660500,AVENIDA AVELINO LEAL 1940 COPACABANA,9924,0.028817289
660337,AVENIDA AVELINO LEAL 14 COPACABAAN,9,660415,AVENIDA AVELINO LEAL 1061 COPACABANA,9471,0.030081244
660337,AVENIDA AVELINO LEAL 14 COPACABAAN,9,101462,AVENIDA ROCHA LEAL 150 TAMANDARE,2836,0.05687532
660337,AVENIDA AVELINO LEAL 14 COPACABAAN,9,781446,AVENIDA LELAND BARROSO 266 IPIXUNA,3768,0.05793503
617950,RúA SAO JOAO JOAO 277 FLORESTA SUL E SOBRAL,10,617950,RUA SAO JOAO 277 FLORESTA SUL E SOBRAL,4839,0.07542623
617950,RúA SAO JOAO JOAO 277 FLORESTA SUL E SOBRAL,10,677125,LAGO TEFE 37 SAO JOAO DO MIRITI,2461,0.10584766
617950,RúA SAO JOAO JOAO 277 FLORESTA SUL E SOBRAL,10,477360,RAMAL DO CUMARU OU LINHA 108 13 SAO JOAO DO BALANCEIO,5780,0.11394409
617950,RúA SAO JOAO JOAO 277 FLORESTA SUL E SOBRAL,10,644103,RIO VIUVA PARANA 34 SAO GERONIMO,3699,0.119470745
617950,RúA SAO JOAO JOAO 277 FLORESTA SUL E SOBRAL,10,737905,RIO P A E PANELAO 21 PA PANELAO,2528,0.12691098
860054,AVEgNIDA vBRASIL 2647 COMPENSA,11,913514,BECO BRASIL 6 COMPENSA,1836,0.10726635
860054,AVEgNIDA vBRASIL 2647 COMPENSA,11,909648,BECO AJURICABA 38 COMPENSA 1,1376,0.10848906
860054,AVEgNIDA vBRASIL 2647 COMPENSA,11,922542,BECO LADISLAU 13 COMPENSA,8843,0.11092973
860054,AVEgNIDA vBRASIL 2647 COMPENSA,11,417174,LINHA UNIAO 11 PA REVIVER,7688,0.1234953
860054,AVEgNIDA vBRASIL 2647 COMPENSA,11,913916,BECO BRASILEIA 2 COMPENSA,5270,0.1286484
140559,uRUA FERNANfAO 1010 DOM BOSCO,12,140559,RUA FERNANDAO 1010 DOM BOSCO,162,0.054479036
140559,uRUA FERNANfAO 1010 DOM BOSCO,12,256102,RUA FABIA 7650 TEIXEIRAO,9556,0.08775702
140559,uRUA FERNANfAO 1010 DOM BOSCO,12,140402,RUA FEIJO 1680 RIACHUELO,9697,0.087947056
140559,uRUA FERNANfAO 1010 DOM BOSCO,12,133263,RUA CAMPO MOURAO 2203 VALPARAISO,7142,0.08855746
140559,uRUA FERNANfAO 1010 DOM BOSCO,12,59597,RUA RIO NEGRO 2022 TEIXEIRAO,9066,0.091256894
935577,BECO SAO FRANCISCO 1 SNATOANTONIO,13,935577,BECO SAO FRANCISCO 1 SANTO ANTONIO,201,0.04163199
935577,BECO SAO FRANCISCO 1 SNATOANTONIO,13,935604,BECO SAO FRANCISCO 3 ADRIANOPOLIS,2642,0.046338618
935577,BECO SAO FRANCISCO 1 SNATOANTONIO,13,935659,BECO SAO FRANCISCO 7 SAO JOSE 2,5673,0.056834932
935577,BECO SAO FRANCISCO 1 SNATOANTONIO,13,928123,BECO SAO FRANCISCO 43 ARMANDO MENDES,9696,0.060709078
935577,BECO SAO FRANCISCO 1 SNATOANTONIO,13,935931,BECO SAO FRANCISCO 30 ALVORADA II,5488,0.061241798
1129296,RUAJERICO JERICO 11 NOSSA SENHROAm DE FATIMA 1,14,1129296,RUA JERICO 11 NOSSA SENHORA DE FATIMA 1,9187,0.07003949
1129296,RUAJERICO JERICO 11 NOSSA SENHROAm DE FATIMA 1,14,984547,RUA ALAMEDA ESPERANCA 92 NOSSA SENHORA DE FATIMA I,3684,0.079587825
1129296,RUAJERICO JERICO 11 NOSSA SENHROAm DE FATIMA 1,14,1090725,RUA EFESIOS 80 NOSSA SRA DE FATIMA,8896,0.08039127
1129296,RUAJERICO JERICO 11 NOSSA SENHROAm DE FATIMA 1,14,984539,RUA ALAMEDA ESPERANCA 3 NOSSA SENHORA DE FATIMA I,4600,0.080640376
1129296,RUAJERICO JERICO 11 NOSSA SENHROAm DE FATIMA 1,14,1090656,RUA EFESIOS 24 NOSSA SENHORA DE FATIMA 1,7870,0.0827685
656476,eU ASEM DENOMINACAO 5 20 ELGENIO ALGUSTO ALGUSTO AREãL,15,656476,RUA SEM DENOMINACAO 5 20 ELGENIO ALGUSTO AREAL,5856,0.11168471
656476,eU ASEM DENOMINACAO 5 20 ELGENIO ALGUSTO ALGUSTO AREãL,15,656552,RUA SEN DENOMINASAO 1511 ELGENIO ALGUSTO AREAL,1514,0.119653255
656476,eU ASEM DENOMINACAO 5 20 ELGENIO ALGUSTO ALGUSTO AREãL,15,252802,RUA ELIAS GORAYEB 2056 SAO CRISTOVAO,8677,0.14962843
656476,eU ASEM DENOMINACAO 5 20 ELGENIO ALGUSTO ALGUSTO AREãL,15,775514,RUA ESTANISLAU AFONSO 1154 SAO DOMINGOS SAVIO,2632,0.1522239
656476,eU ASEM DENOMINACAO 5 20 ELGENIO ALGUSTO ALGUSTO AREãL,15,656294,RUA S NOME 100 ELGENIO ALGUSTO AREAL,8413,0.15508084
449163,,16,469309,LINHA 66 230 None,2285,0.38821238
449163,,16,120745,LINHA 627 941 None,7835,0.40538895
449163,,16,650247,RAMAL LIMERA 11 BR317,5869,0.40874445
449163,,16,452374,LINHA P 06 6 None,93,0.42325693
449163,,16,164312,LINHA 208 7 None,4387,0.4286032
112678,RUA LEOMAR JOSE BARATELA 7210 CENTRO,17,112678,RUA LEOMAR JOSE BARATELA 7210 CENTRO,6723,6.284642e-06
112678,RUA LEOMAR JOSE BARATELA 7210 CENTRO,17,523514,RUA DOUTOR JOSE HASCHER 754 MANCIO LIMA,741,0.061241418
112678,RUA LEOMAR JOSE BARATELA 7210 CENTRO,17,130656,RUA ARGEMIRO LUIZ FONTOURA 3440 HABITAR BRASIL,3428,0.0653172
112678,RUA LEOMAR JOSE BARATELA 7210 CENTRO,17,680163,RUA MANUEL NAZARE CORDEIRO 583 ANAMA,7128,0.06599681
112678,RUA LEOMAR JOSE BARATELA 7210 CENTRO,17,680181,RUA MANUEL NAZARE CORDEIRO . 879 ANAMA,286,0.07405767
823673,RUA FRANCISsCO SIDRONïO 458 BAIRRO DA FpNTE,18,639183,RUA AVELINO SERRAO 478 SANTA CECILIA,9291,0.073013246
823673,RUA FRANCISsCO SIDRONïO 458 BAIRRO DA FpNTE,18,509979,RUA ESTRADA DO PENTENCOSTE 521 SANTA LUSIA,7228,0.073425576
823673,RUA FRANCISsCO SIDRONïO 458 BAIRRO DA FpNTE,18,824222,RUA JOSE REBOUCAS 2654 BAIRRO DE FATIMA,2126,0.07575603
823673,RUA FRANCISsCO SIDRONïO 458 BAIRRO DA FpNTE,18,667909,RUA EVARISTO S. DA SILVA 185 MULTIRAO,3246,0.07624597
823673,RUA FRANCISsCO SIDRONïO 458 BAIRRO DA FpNTE,18,502105,RUA JOSE S DA SILVA 160 VILA RICA,3224,0.078443825
1097326,RUA FABIO FABIO LCENA 52 CjDfADE NOVA,19,703361,RUA FREI LUDOVICO 404 COIMBRA,1828,0.09511762
1097326,RUA FABIO FABIO LCENA 52 CjDfADE NOVA,19,767947,RUA BOULEVARD ALVARO MAIA 599 FONTE BOA,3302,0.095183305
1097326,RUA FABIO FABIO LCENA 52 CjDfADE NOVA,19,1142362,RUA LAURA VINCUNA 36 C0ROADO,8531,0.09546845
1097326,RUA FABIO FABIO LCENA 52 CjDfADE NOVA,19,1113177,RUA HUGO DE ABREU C 4 COROADO,1662,0.096125275
1097326,RUA FABIO FABIO LCENA 52 CjDfADE NOVA,19,255581,RUA EUDOXIA BARROS 6577 APONIA,8798,0.101190336
274774,RUAJOSE DE ALaENCAR 3413 OLAIA,20,48592,RUA ANITA GARIBALDI 2945 TEIXEIRAO,243,0.096076965
274774,RUAJOSE DE ALaENCAR 3413 OLAIA,20,48557,RUA ANITA GARIBALDI 2641 TEIXEIRAO,6956,0.10000163
274774,RUAJOSE DE ALaENCAR 3413 OLAIA,20,1150777,RUA MACEIO 2186 ADRIANOPOLIS,4777,0.10208985
274774,RUAJOSE DE ALaENCAR 3413 OLAIA,20,241371,RUA CASTILHO 8636 TEIXEIRAO,5064,0.10252714
274774,RUAJOSE DE ALaENCAR 3413 OLAIA,20,255581,RUA EUDOXIA BARROS 6577 APONIA,8798,0.11299301
244896,jRUA CRISTALIA 4147 ZONA LESTE,21,244896,RUA CRISTALINA 4147 ZONA LESTE,9982,0.06555224
