execucao,tempo_busca,memoria_usada_busca_MB,modelo_index,modelo_embedding
1,0.0038704872131347656,0.12109375,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
2,0.002521991729736328,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
3,0.002527475357055664,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
4,0.0029654502868652344,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
5,0.0024137496948242188,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
6,0.0023627281188964844,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
7,0.0027005672454833984,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
8,0.0035538673400878906,0.125,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
9,0.0031785964965820312,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
10,0.003143787384033203,0.125,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
11,0.003014087677001953,-0.12890625,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
12,0.002925872802734375,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
13,0.0031507015228271484,0.25,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
14,0.0023322105407714844,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
15,0.002187967300415039,0.125,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
16,0.002709627151489258,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
17,0.0022611618041992188,-0.125,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
18,0.0024378299713134766,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
19,0.002765655517578125,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
20,0.002578258514404297,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
21,0.0023763179779052734,0.125,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
22,0.003260374069213867,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
23,0.002168416976928711,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
24,0.00241851806640625,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
25,0.003431081771850586,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
26,0.0021610260009765625,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
27,0.002640962600708008,-0.125,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
28,0.002543926239013672,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
29,0.0020279884338378906,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
30,0.0029768943786621094,0.0,nmslib_hnsw,sentence-transformers/all-mpnet-base-v2
