execucao,tempo_busca,memoria_usada_busca_MB,modelo_index,modelo_embedding
1,0.0004687309265136719,0.0,svs,sentence-transformers/all-mpnet-base-v2
2,0.00029540061950683594,0.0,svs,sentence-transformers/all-mpnet-base-v2
3,0.00025534629821777344,0.0,svs,sentence-transformers/all-mpnet-base-v2
4,0.0002493858337402344,0.0,svs,sentence-transformers/all-mpnet-base-v2
5,0.0002486705780029297,0.0,svs,sentence-transformers/all-mpnet-base-v2
6,0.0002498626708984375,0.0,svs,sentence-transformers/all-mpnet-base-v2
7,0.00026416778564453125,0.0,svs,sentence-transformers/all-mpnet-base-v2
8,0.0002620220184326172,0.0,svs,sentence-transformers/all-mpnet-base-v2
9,0.0002682209014892578,0.0,svs,sentence-transformers/all-mpnet-base-v2
10,0.0002751350402832031,0.0,svs,sentence-transformers/all-mpnet-base-v2
11,0.00028705596923828125,0.0,svs,sentence-transformers/all-mpnet-base-v2
12,0.0002624988555908203,0.0,svs,sentence-transformers/all-mpnet-base-v2
13,0.00024819374084472656,0.0,svs,sentence-transformers/all-mpnet-base-v2
14,0.00024819374084472656,0.0,svs,sentence-transformers/all-mpnet-base-v2
15,0.0002586841583251953,0.0,svs,sentence-transformers/all-mpnet-base-v2
16,0.0002474784851074219,0.0,svs,sentence-transformers/all-mpnet-base-v2
17,0.0002510547637939453,0.0,svs,sentence-transformers/all-mpnet-base-v2
18,0.0002524852752685547,0.0,svs,sentence-transformers/all-mpnet-base-v2
19,0.00025177001953125,0.0,svs,sentence-transformers/all-mpnet-base-v2
20,0.0002510547637939453,0.0,svs,sentence-transformers/all-mpnet-base-v2
21,0.0002484321594238281,0.0,svs,sentence-transformers/all-mpnet-base-v2
22,0.00025582313537597656,0.0,svs,sentence-transformers/all-mpnet-base-v2
23,0.00027751922607421875,0.0,svs,sentence-transformers/all-mpnet-base-v2
24,0.0002779960632324219,0.0,svs,sentence-transformers/all-mpnet-base-v2
25,0.0002968311309814453,0.0,svs,sentence-transformers/all-mpnet-base-v2
26,0.0002982616424560547,0.0,svs,sentence-transformers/all-mpnet-base-v2
27,0.0002808570861816406,0.0,svs,sentence-transformers/all-mpnet-base-v2
28,0.0002703666687011719,0.0,svs,sentence-transformers/all-mpnet-base-v2
29,0.00027632713317871094,0.0,svs,sentence-transformers/all-mpnet-base-v2
30,0.0002932548522949219,0.0,svs,sentence-transformers/all-mpnet-base-v2
31,0.00029206275939941406,0.0,svs,sentence-transformers/all-mpnet-base-v2
32,0.00026988983154296875,0.0,svs,sentence-transformers/all-mpnet-base-v2
33,0.0002639293670654297,0.0,svs,sentence-transformers/all-mpnet-base-v2
34,0.0002682209014892578,0.0,svs,sentence-transformers/all-mpnet-base-v2
35,0.00027871131896972656,0.0,svs,sentence-transformers/all-mpnet-base-v2
36,0.0003066062927246094,0.0,svs,sentence-transformers/all-mpnet-base-v2
37,0.0002770423889160156,0.0,svs,sentence-transformers/all-mpnet-base-v2
38,0.0002796649932861328,0.0,svs,sentence-transformers/all-mpnet-base-v2
39,0.0002911090850830078,0.0,svs,sentence-transformers/all-mpnet-base-v2
40,0.00030541419982910156,0.0,svs,sentence-transformers/all-mpnet-base-v2
41,0.0003001689910888672,0.0,svs,sentence-transformers/all-mpnet-base-v2
42,0.0003142356872558594,0.0,svs,sentence-transformers/all-mpnet-base-v2
43,0.0003046989440917969,0.0,svs,sentence-transformers/all-mpnet-base-v2
44,0.00033855438232421875,0.0,svs,sentence-transformers/all-mpnet-base-v2
45,0.0009627342224121094,0.0,svs,sentence-transformers/all-mpnet-base-v2
46,0.0011265277862548828,0.0,svs,sentence-transformers/all-mpnet-base-v2
47,0.0008649826049804688,0.0,svs,sentence-transformers/all-mpnet-base-v2
48,0.0002989768981933594,0.0,svs,sentence-transformers/all-mpnet-base-v2
49,0.0003650188446044922,0.0,svs,sentence-transformers/all-mpnet-base-v2
50,0.0003037452697753906,0.0,svs,sentence-transformers/all-mpnet-base-v2
51,0.00031256675720214844,0.0,svs,sentence-transformers/all-mpnet-base-v2
52,0.00027942657470703125,0.0,svs,sentence-transformers/all-mpnet-base-v2
53,0.0002913475036621094,0.0,svs,sentence-transformers/all-mpnet-base-v2
54,0.0003330707550048828,0.0,svs,sentence-transformers/all-mpnet-base-v2
55,0.0003154277801513672,0.0,svs,sentence-transformers/all-mpnet-base-v2
56,0.0002911090850830078,0.0,svs,sentence-transformers/all-mpnet-base-v2
57,0.0003209114074707031,0.0,svs,sentence-transformers/all-mpnet-base-v2
58,0.00032901763916015625,0.0,svs,sentence-transformers/all-mpnet-base-v2
59,0.0003414154052734375,0.0,svs,sentence-transformers/all-mpnet-base-v2
60,0.00036644935607910156,0.0,svs,sentence-transformers/all-mpnet-base-v2
61,0.0003979206085205078,0.0,svs,sentence-transformers/all-mpnet-base-v2
62,0.0003514289855957031,0.0,svs,sentence-transformers/all-mpnet-base-v2
63,0.0003807544708251953,0.0,svs,sentence-transformers/all-mpnet-base-v2
64,0.00033974647521972656,0.0,svs,sentence-transformers/all-mpnet-base-v2
65,0.00035381317138671875,0.0,svs,sentence-transformers/all-mpnet-base-v2
66,0.00035452842712402344,0.0,svs,sentence-transformers/all-mpnet-base-v2
67,0.0003237724304199219,0.0,svs,sentence-transformers/all-mpnet-base-v2
68,0.0002903938293457031,0.0,svs,sentence-transformers/all-mpnet-base-v2
69,0.00025582313537597656,0.0,svs,sentence-transformers/all-mpnet-base-v2
