execucao,tempo_busca,memoria_usada_busca_MB,modelo_index,modelo_embedding
1,0.08314895629882812,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
2,0.0770421028137207,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
3,0.07639360427856445,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
4,0.07591533660888672,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
5,0.07666325569152832,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
6,0.0825800895690918,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
7,0.07853007316589355,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
8,0.0773468017578125,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
9,0.07700133323669434,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
10,0.07590079307556152,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
11,0.07600092887878418,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
12,0.07672238349914551,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
13,0.07611656188964844,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
14,0.07783269882202148,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
15,0.0775916576385498,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
16,0.07712292671203613,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
17,0.0765831470489502,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
18,0.07762956619262695,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
19,0.07772231101989746,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
20,0.07662129402160645,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
21,0.07745766639709473,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
22,0.07840490341186523,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
23,0.07703351974487305,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
24,0.07647418975830078,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
25,0.07633113861083984,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
26,0.07719898223876953,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
27,0.07680583000183105,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
28,0.07713770866394043,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
29,0.0766901969909668,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
30,0.07645440101623535,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
31,0.07671999931335449,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
32,0.07602429389953613,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
33,0.07662630081176758,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
34,0.07636713981628418,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
35,0.07721090316772461,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
36,0.07646942138671875,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
37,0.0772545337677002,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
38,0.07581472396850586,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
39,0.07646679878234863,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
40,0.07585430145263672,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
41,0.07689833641052246,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
42,0.07633709907531738,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
43,0.07698225975036621,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
44,0.07676982879638672,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
45,0.07675552368164062,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
46,0.0763392448425293,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
47,0.0763540267944336,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
48,0.07633590698242188,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
49,0.07679152488708496,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
50,0.0762941837310791,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
51,0.07687616348266602,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
52,0.07668256759643555,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
53,0.07637524604797363,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
54,0.07626485824584961,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
55,0.07731866836547852,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
56,0.07637453079223633,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
57,0.07668924331665039,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
58,0.07655549049377441,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
59,0.07654142379760742,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
60,0.07649850845336914,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
61,0.07758378982543945,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
62,0.07650613784790039,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
63,0.07590007781982422,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
64,0.07610440254211426,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
65,0.07697129249572754,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
66,0.07574868202209473,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
67,0.07662463188171387,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
68,0.07705283164978027,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
69,0.07625913619995117,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
70,0.07686138153076172,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
71,0.07627654075622559,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
72,0.07695221900939941,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
73,0.07646346092224121,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
74,0.07688665390014648,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
75,0.07646059989929199,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
76,0.0769808292388916,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
77,0.0760660171508789,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
78,0.0765080451965332,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
79,0.07628965377807617,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
80,0.07630777359008789,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
81,0.07731413841247559,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
82,0.07639646530151367,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
83,0.07606315612792969,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
84,0.07655715942382812,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
85,0.07615876197814941,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
86,0.07621216773986816,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
87,0.07636404037475586,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
88,0.07646942138671875,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
89,0.0760655403137207,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
90,0.07643365859985352,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
91,0.07608580589294434,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
92,0.07709956169128418,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
93,0.07632064819335938,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
94,0.07681155204772949,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
95,0.0757756233215332,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
96,0.0761270523071289,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
97,0.07586050033569336,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
98,0.07606339454650879,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
99,0.07614469528198242,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
100,0.0765233039855957,0.0,scann,sentence-transformers/all-MiniLM-L6-v2
