execucao,tempo_busca,memoria_usada_busca_MB,modelo_index,modelo_embedding
1,0.1602010726928711,0.0,scann,sentence-transformers/all-mpnet-base-v2
2,0.15793085098266602,0.0,scann,sentence-transformers/all-mpnet-base-v2
3,0.15682768821716309,0.0,scann,sentence-transformers/all-mpnet-base-v2
4,0.15728998184204102,0.0,scann,sentence-transformers/all-mpnet-base-v2
5,0.15746307373046875,0.0,scann,sentence-transformers/all-mpnet-base-v2
6,0.15773463249206543,0.0,scann,sentence-transformers/all-mpnet-base-v2
7,0.15941381454467773,0.0,scann,sentence-transformers/all-mpnet-base-v2
8,0.15909218788146973,0.0,scann,sentence-transformers/all-mpnet-base-v2
9,0.16001319885253906,0.0,scann,sentence-transformers/all-mpnet-base-v2
10,0.15848422050476074,0.0,scann,sentence-transformers/all-mpnet-base-v2
11,0.15870165824890137,0.0,scann,sentence-transformers/all-mpnet-base-v2
12,0.15718817710876465,0.0,scann,sentence-transformers/all-mpnet-base-v2
13,0.15789794921875,0.0,scann,sentence-transformers/all-mpnet-base-v2
14,0.15778470039367676,0.0,scann,sentence-transformers/all-mpnet-base-v2
15,0.1575758457183838,0.0,scann,sentence-transformers/all-mpnet-base-v2
16,0.15716195106506348,0.0,scann,sentence-transformers/all-mpnet-base-v2
17,0.15844082832336426,0.0,scann,sentence-transformers/all-mpnet-base-v2
18,0.1575148105621338,0.0,scann,sentence-transformers/all-mpnet-base-v2
19,0.15741229057312012,0.0,scann,sentence-transformers/all-mpnet-base-v2
20,0.15733981132507324,0.0,scann,sentence-transformers/all-mpnet-base-v2
21,0.15777254104614258,0.0,scann,sentence-transformers/all-mpnet-base-v2
22,0.1576371192932129,0.0,scann,sentence-transformers/all-mpnet-base-v2
23,0.15808558464050293,0.0,scann,sentence-transformers/all-mpnet-base-v2
24,0.15713024139404297,0.0,scann,sentence-transformers/all-mpnet-base-v2
25,0.15695500373840332,0.0,scann,sentence-transformers/all-mpnet-base-v2
26,0.15860867500305176,0.0,scann,sentence-transformers/all-mpnet-base-v2
27,0.1576378345489502,0.0,scann,sentence-transformers/all-mpnet-base-v2
28,0.15749335289001465,0.0,scann,sentence-transformers/all-mpnet-base-v2
29,0.15749335289001465,0.0,scann,sentence-transformers/all-mpnet-base-v2
30,0.15694975852966309,0.0,scann,sentence-transformers/all-mpnet-base-v2
31,0.15767669677734375,0.0,scann,sentence-transformers/all-mpnet-base-v2
32,0.1576242446899414,0.0,scann,sentence-transformers/all-mpnet-base-v2
33,0.1578536033630371,0.0,scann,sentence-transformers/all-mpnet-base-v2
34,0.157973051071167,0.0,scann,sentence-transformers/all-mpnet-base-v2
35,0.15752720832824707,0.0,scann,sentence-transformers/all-mpnet-base-v2
36,0.15835833549499512,0.0,scann,sentence-transformers/all-mpnet-base-v2
37,0.15733098983764648,0.0,scann,sentence-transformers/all-mpnet-base-v2
38,0.15858101844787598,0.0,scann,sentence-transformers/all-mpnet-base-v2
39,0.15834283828735352,0.0,scann,sentence-transformers/all-mpnet-base-v2
40,0.15696263313293457,0.0,scann,sentence-transformers/all-mpnet-base-v2
41,0.15779757499694824,0.0,scann,sentence-transformers/all-mpnet-base-v2
42,0.15735507011413574,0.0,scann,sentence-transformers/all-mpnet-base-v2
43,0.157196044921875,0.0,scann,sentence-transformers/all-mpnet-base-v2
44,0.15718674659729004,0.0,scann,sentence-transformers/all-mpnet-base-v2
45,0.15723514556884766,0.0,scann,sentence-transformers/all-mpnet-base-v2
46,0.15685582160949707,0.0,scann,sentence-transformers/all-mpnet-base-v2
47,0.15755677223205566,0.0,scann,sentence-transformers/all-mpnet-base-v2
48,0.1578528881072998,0.0,scann,sentence-transformers/all-mpnet-base-v2
49,0.15697121620178223,0.0,scann,sentence-transformers/all-mpnet-base-v2
50,0.15798401832580566,0.0,scann,sentence-transformers/all-mpnet-base-v2
51,0.15725302696228027,0.0,scann,sentence-transformers/all-mpnet-base-v2
52,0.1579606533050537,0.0,scann,sentence-transformers/all-mpnet-base-v2
53,0.15755438804626465,0.0,scann,sentence-transformers/all-mpnet-base-v2
54,0.15772485733032227,0.0,scann,sentence-transformers/all-mpnet-base-v2
55,0.15807008743286133,0.0,scann,sentence-transformers/all-mpnet-base-v2
56,0.15756726264953613,0.0,scann,sentence-transformers/all-mpnet-base-v2
57,0.15796470642089844,0.0,scann,sentence-transformers/all-mpnet-base-v2
58,0.15795683860778809,0.0,scann,sentence-transformers/all-mpnet-base-v2
59,0.15809917449951172,0.0,scann,sentence-transformers/all-mpnet-base-v2
60,0.15783309936523438,0.0,scann,sentence-transformers/all-mpnet-base-v2
61,0.15815019607543945,0.0,scann,sentence-transformers/all-mpnet-base-v2
62,0.15717267990112305,0.0,scann,sentence-transformers/all-mpnet-base-v2
63,0.15694308280944824,0.0,scann,sentence-transformers/all-mpnet-base-v2
64,0.15871667861938477,0.0,scann,sentence-transformers/all-mpnet-base-v2
65,0.15775656700134277,0.0,scann,sentence-transformers/all-mpnet-base-v2
66,0.15692377090454102,0.0,scann,sentence-transformers/all-mpnet-base-v2
67,0.15725159645080566,0.0,scann,sentence-transformers/all-mpnet-base-v2
68,0.1575608253479004,0.0,scann,sentence-transformers/all-mpnet-base-v2
69,0.15711379051208496,0.0,scann,sentence-transformers/all-mpnet-base-v2
70,0.1568772792816162,0.0,scann,sentence-transformers/all-mpnet-base-v2
71,0.1579151153564453,0.0,scann,sentence-transformers/all-mpnet-base-v2
72,0.1578667163848877,0.0,scann,sentence-transformers/all-mpnet-base-v2
73,0.1571347713470459,0.0,scann,sentence-transformers/all-mpnet-base-v2
74,0.15805745124816895,0.0,scann,sentence-transformers/all-mpnet-base-v2
75,0.15786170959472656,0.0,scann,sentence-transformers/all-mpnet-base-v2
76,0.15713787078857422,0.0,scann,sentence-transformers/all-mpnet-base-v2
77,0.1573176383972168,0.0,scann,sentence-transformers/all-mpnet-base-v2
78,0.1576709747314453,0.0,scann,sentence-transformers/all-mpnet-base-v2
79,0.1578528881072998,0.0,scann,sentence-transformers/all-mpnet-base-v2
80,0.15797662734985352,0.0,scann,sentence-transformers/all-mpnet-base-v2
81,0.15776419639587402,0.0,scann,sentence-transformers/all-mpnet-base-v2
82,0.1560685634613037,0.0,scann,sentence-transformers/all-mpnet-base-v2
83,0.15775012969970703,0.0,scann,sentence-transformers/all-mpnet-base-v2
84,0.1582355499267578,0.0,scann,sentence-transformers/all-mpnet-base-v2
85,0.15705156326293945,0.0,scann,sentence-transformers/all-mpnet-base-v2
86,0.1583867073059082,0.0,scann,sentence-transformers/all-mpnet-base-v2
87,0.15783429145812988,0.0,scann,sentence-transformers/all-mpnet-base-v2
88,0.15780401229858398,0.0,scann,sentence-transformers/all-mpnet-base-v2
89,0.1565537452697754,0.0,scann,sentence-transformers/all-mpnet-base-v2
90,0.15781211853027344,0.0,scann,sentence-transformers/all-mpnet-base-v2
91,0.15716910362243652,0.0,scann,sentence-transformers/all-mpnet-base-v2
92,0.15749812126159668,0.0,scann,sentence-transformers/all-mpnet-base-v2
93,0.15766406059265137,0.0,scann,sentence-transformers/all-mpnet-base-v2
94,0.1575031280517578,0.0,scann,sentence-transformers/all-mpnet-base-v2
95,0.15741848945617676,0.0,scann,sentence-transformers/all-mpnet-base-v2
96,0.15719890594482422,0.0,scann,sentence-transformers/all-mpnet-base-v2
97,0.15767717361450195,0.0,scann,sentence-transformers/all-mpnet-base-v2
98,0.15682601928710938,0.0,scann,sentence-transformers/all-mpnet-base-v2
99,0.15743374824523926,0.0,scann,sentence-transformers/all-mpnet-base-v2
100,0.15692663192749023,0.0,scann,sentence-transformers/all-mpnet-base-v2
