uf_x,municipio_x,logradouro_x,numero_x,complemento_x,localidade_x,setor_censitario_x,id_lt_x,uf_y,municipio_y,logradouro_y,numero_y,complemento_y,localidade_y,cep,setor_censitario_y,id_lt_y
29,26103,RUA 31 DE MARCO,2.0,ANDAR 1,CENTRO,292610305000004,0,29,28703,RUA 31 DE MARCO,478,ANDAR 2,CENTRO,44570000.0,292870305000029,5505957
29,11204,RUA CAJAZEIRA,60.0,,CENTRO,291120405000008,1,29,11204,RUA CAJAZEIRA,0,,CENTRO,45450000.0,291120405000008,1858821
29,3904,AVENIDA DUQUE DE CAXIAS,812.0,APARTAMENTO,CENTRO,290390405000070,2,29,3904,AVENIDA DUQUE DE CAXIAS,812,APARTAMENTO,CENTRO,47600000.0,290390405000070,506073
29,8408,RUA GREGORIO AMANCIO,191.0,ANDAR 1,CENTRO,290840805000012,3,29,8408,RUA GREGORIO AMANCIO,191,ANDAR 1,CENTRO,48730000.0,290840805000012,1241852
21,8900,AVENIDA ISRAEL GONCALVES,73.0,,CENTRO,210890005000005,4,29,14208,RUA ISRAEL ALVES,0,,CENTRO,45370000.0,291420805000001,2275209
29,6006,POVOADO TIQUARA,916.0,CASA,TIQUARA,290600605000037,5,29,6006,POVOADO TIQUARA,917,CASA,TIQUARA,44790000.0,290600605000037,901716
24,12609,RUA OTAVIO LAMARTINE,138.0,,CENTRO,241260905000007,6,28,1702,RUA CARLOS LEITE,0,,CENTRO,49270000.0,280170205000001,6798764
25,7507,RUA EUZELY FABRICIO DE SOUZA,445.0,,MANAIRA,250750705000468,7,29,27408,RUA ENGENHEIRO ALVES DE SOUZA,125,,IPITANGA,42700000.0,292740805090044,4472407
29,19959,FAZENDA JUREMAL,,CAIS,JUREMAL,291995905000010,8,29,19959,FAZENDA JUREMAL,9,,JUREMAL,46255000.0,291995905000011,3269184
25,8901,RUA MARCOS BARBOSA,472.0,,CENTRO,250890105000013,9,29,9604,RUA MARCOS DANTAS,0,,CENTRO,48480000.0,290960405000002,1364095
25,7507,AVENIDA RIO GRANDE DO SUL,1000.0,BLOCO A ANDAR 1O APARTAMENTO 104,ESTADOS,250750705000152,10,29,27408,RUA BANCO DOS INGLESES,6,EDIFICIO BLOCO a APARTAMENTO 1002,CAMPO GRANDE,40080040.0,292740805270177,5332230
24,8102,AVENIDA JERONIMO CAMARA,1749.0,,LAGOA NOVA,240810205070006,11,29,4506,POVOADO LAGOA NOVA,82,,LAGOA NOVA,47560000.0,290450610000009,567783
23,10407,RUA JOAQUIM VIEIRA,138.0,,BELA VISTA,231040705000019,12,29,31350,RUA MOREIRA RAMOS,11,,BELA VISTA,45997022.0,293135005000015,5973757
29,11709,AVENIDA BARAO DO RIO BRANCO,106.0,,CENTRO,291170905000001,13,29,11709,AVENIDA BARAO DO RIO BRANCO,0,,CENTRO,46430000.0,291170905000001,1903927
29,31004,RODOVIA BA 142,20.0,CASA,PE,293100405000007,14,29,33307,RODOVIA BA 262,0,CASA,CAPINAL,45000000.0,293330705000241,6384647
28,308,RUA CONSTRUTOR JOAO ALVES,180.0,,SALGADO FILHO,280030805000037,15,28,308,RUA CONSTRUTOR JOAO ALVES,180,,SALGADO FILHO,49020340.0,280030805000037,6497449
29,18803,RUA LEONEL BRITO,41.0,,CENTRO,291880305000003,16,29,18803,RUA LEONEL BRITO,0,,CENTRO,45490000.0,291880305000003,3054051
24,8102,AVENIDA GOVERNADOR JUVENAL LAMARTINE,1012.0,ANDAR 9 APARTAMENTO 901,TIROL,240810205080149,17,29,31350,RUA GOVERNADOR VITORINO PEREIRA,137,ANDAR 1 APARTAMENTO 103,JARDIM CARAIPE,45995000.0,293135005000123,6012544
24,8953,AVENIDA 17 DE SETEMBRO,13.0,,CENTRO,240895305000002,18,29,801,AVENIDA 7 DE SETEMBRO,64,,CENTRO,45990000.0,290080105000003,103501
27,2306,RUA PERNAMBUCO NOVO,605.0,,VASSOURAS,270230605000046,19,28,4607,RUA A,127,,CONJUNTO NOVO HORIZONTE,49600000.0,280460705000009,7067732
28,308,RUA CAMPOS,899.0,,SAO JOSE,280030805000024,20,28,308,RUA CAMPOS,890,,SAO JOSE,49015220.0,280030805000024,6493315
24,1008,RUA JOAO PESSOA,50.0,,CENTRO,240100805000003,21,28,1009,RUA JOAO PESSOA,0,,CENTRO,49520000.0,280100905000003,6750619
